,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
0,cellular glucan metabolic process (GO:0006073),GO:0006073,,,,,,,,
1,negative regulation of ubiquitin-protein transferase activity (GO:0051444),GO:0051444,biological regulation,regulation of biological process,negative regulation of biological process,regulation of transferase activity,regulation of protein metabolic process,negative regulation of protein metabolic process,regulation of protein modification by small protein conjugation or removal,regulation of protein ubiquitination
2,pyrimidine nucleoside metabolic process (GO:0006213),GO:0006213,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleoside metabolic process,,,,
3,response to forskolin (GO:1904321),GO:1904321,response to stimulus,response to chemical,response to organic substance,response to organic cyclic compound,,,,
4,regulation of axon extension (GO:0030516),GO:0030516,biological regulation,regulation of biological process,regulation of developmental process,regulation of cell growth,regulation of extent of cell growth,,,
5,calcineurin-NFAT signaling cascade (GO:0033173),GO:0033173,biological regulation,regulation of biological process,intracellular signal transduction,second-messenger-mediated signaling,calcium-mediated signaling,calcineurin-mediated signaling,,
6,regulation of release of sequestered calcium ion into cytosol (GO:0051279),GO:0051279,biological regulation,regulation of biological process,regulation of localization,regulation of sequestering of calcium ion,regulation of monoatomic ion transport,regulation of monoatomic cation transmembrane transport,regulation of calcium ion transmembrane transport,
7,cellular response to interleukin-7 (GO:0098761),GO:0098761,cellular process,response to chemical,cellular response to chemical stimulus,cellular response to organic substance,response to interleukin-7,,,
8,pigment granule transport (GO:0051904),GO:0051904,localization,establishment of localization,vesicle localization,establishment of vesicle localization,establishment of pigment granule localization,,,
9,organic substance transport (GO:0071702),GO:0071702,localization,establishment of localization,transport,,,,,
10,regulation of pH (GO:0006885),GO:0006885,homeostatic process,chemical homeostasis,monoatomic ion homeostasis,monoatomic cation homeostasis,,,,
11,ganglioside metabolic process (GO:0001573),GO:0001573,cellular process,cellular metabolic process,organonitrogen compound metabolic process,sphingolipid metabolic process,glycolipid metabolic process,,,
12,protein targeting to mitochondrion (GO:0006626),GO:0006626,cellular process,cellular localization,cellular macromolecule localization,mitochondrial transport,protein targeting,protein localization to mitochondrion,,
13,actin-myosin filament sliding (GO:0033275),GO:0033275,cellular process,actin filament-based process,actin filament-based movement,actin-mediated cell contraction,,,,
14,semaphorin-plexin signaling pathway involved in neuron projection guidance (GO:1902285),GO:1902285,biological regulation,regulation of biological process,cell surface receptor signaling pathway,semaphorin-plexin signaling pathway,,,,
15,heart contraction (GO:0060047),GO:0060047,multicellular organismal process,system process,circulatory system process,heart process,,,,
16,regulation of metal ion transport (GO:0010959),GO:0010959,biological regulation,regulation of biological process,regulation of localization,regulation of transport,regulation of monoatomic ion transport,,,
17,branched-chain amino acid catabolic process (GO:0009083),GO:0009083,cellular process,catabolic process,small molecule catabolic process,amino acid catabolic process,carboxylic acid metabolic process,,,
18,in utero embryonic development (GO:0001701),GO:0001701,developmental process,multicellular organism development,embryo development,embryo development ending in birth or egg hatching,chordate embryonic development,,,
19,negative regulation of locomotion (GO:0040013),GO:0040013,biological regulation,regulation of biological process,negative regulation of biological process,,,,,
20,negative regulation of dendritic spine development (GO:0061000),GO:0061000,biological regulation,regulation of biological process,negative regulation of biological process,regulation of dendritic spine development,,,,
21,mRNA transcription from RNA polymerase II promoter (GO:0042789),GO:0042789,cellular process,primary metabolic process,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,RNA metabolic process,mRNA metabolic process,DNA-templated transcription,transcription by RNA polymerase II
22,ncRNA processing (GO:0034470),GO:0034470,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,RNA metabolic process,RNA processing,,
23,regulation of glutamate receptor signaling pathway (GO:1900449),GO:1900449,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,,,,
24,ERK1 and ERK2 cascade (GO:0070371),GO:0070371,biological regulation,regulation of biological process,intracellular signal transduction,MAPK cascade,,,,
25,positive regulation of peptidyl-threonine phosphorylation (GO:0010800),GO:0010800,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of protein metabolic process,regulation of protein modification process,regulation of protein phosphorylation,regulation of peptidyl-threonine phosphorylation
26,establishment of protein localization to mitochondrion (GO:0072655),GO:0072655,cellular process,establishment of localization,establishment of protein localization,establishment of protein localization to organelle,protein localization to organelle,protein localization to mitochondrion,,
27,nucleobase-containing compound catabolic process (GO:0034655),GO:0034655,cellular process,catabolic process,organic cyclic compound metabolic process,cellular nitrogen compound catabolic process,,,,
28,smooth muscle contraction (GO:0006939),GO:0006939,multicellular organismal process,system process,muscle system process,muscle contraction,,,,
29,regulation of postsynaptic membrane potential (GO:0060078),GO:0060078,biological regulation,regulation of biological quality,regulation of membrane potential,,,,,
30,embryonic organ morphogenesis (GO:0048562),GO:0048562,developmental process,anatomical structure morphogenesis,embryonic morphogenesis,,,,,
31,endothelial cell migration (GO:0043542),GO:0043542,cellular process,cell motility,cell migration,ameboidal-type cell migration,epithelial cell migration,,,
32,endosomal vesicle fusion (GO:0034058),GO:0034058,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,membrane fusion,vesicle fusion,,
33,regulation of fibroblast growth factor receptor signaling pathway (GO:0040036),GO:0040036,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cellular response to growth factor stimulus,,,,
34,hepatocyte growth factor receptor signaling pathway (GO:0048012),GO:0048012,biological regulation,regulation of biological process,cell surface receptor signaling pathway,enzyme-linked receptor protein signaling pathway,transmembrane receptor protein tyrosine kinase signaling pathway,,,
35,negative regulation of cell-matrix adhesion (GO:0001953),GO:0001953,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell adhesion,regulation of cell-substrate adhesion,regulation of cell-matrix adhesion,,
36,maturation of SSU-rRNA (GO:0030490),GO:0030490,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing
37,mitochondrial respiratory chain complex I biogenesis (GO:0097031),GO:0097031,,,,,,,,
38,glycogen biosynthetic process (GO:0005978),GO:0005978,cellular process,primary metabolic process,organic substance biosynthetic process,carbohydrate biosynthetic process,glucan metabolic process,glucan biosynthetic process,,
39,amino acid transport (GO:0006865),GO:0006865,localization,establishment of localization,transport,organic substance transport,organic anion transport,carboxylic acid transport,,
40,small RNA loading onto RISC (GO:0070922),GO:0070922,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,protein-RNA complex assembly,,
41,cation transmembrane transport (GO:0098655),GO:0098655,cellular process,establishment of localization,transport,monoatomic ion transport,monoatomic cation transport,,,
42,regulation of autophagosome assembly (GO:2000785),GO:2000785,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component biogenesis,regulation of organelle assembly,regulation of vacuole organization,,
43,regulation of synapse maturation (GO:0090128),GO:0090128,biological regulation,regulation of biological process,regulation of developmental process,regulation of cellular component organization,regulation of synapse organization,,,
44,dynamin family protein polymerization involved in membrane fission (GO:0003373),GO:0003373,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,protein polymerization,,
45,establishment of mitotic spindle localization (GO:0040001),GO:0040001,cellular process,microtubule-based process,spindle localization,microtubule cytoskeleton organization involved in mitosis,cytoskeleton organization,,,
46,neuron projection organization (GO:0106027),GO:0106027,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,plasma membrane bounded cell projection organization,,,
47,neurotransmitter receptor transport (GO:0099637),GO:0099637,cellular process,protein-containing complex localization,transport,protein localization,,,,
48,ephrin receptor signaling pathway (GO:0048013),GO:0048013,biological regulation,regulation of biological process,cell surface receptor signaling pathway,enzyme-linked receptor protein signaling pathway,transmembrane receptor protein tyrosine kinase signaling pathway,,,
49,mitochondrial protein processing (GO:0034982),GO:0034982,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,proteolysis,protein processing,,,
50,fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539),GO:0033539,cellular process,catabolic process,small molecule catabolic process,fatty acid metabolic process,fatty acid catabolic process,monocarboxylic acid catabolic process,,
51,regulation of long-term synaptic potentiation (GO:1900271),GO:1900271,biological regulation,regulation of biological process,regulation of synaptic plasticity,regulation of trans-synaptic signaling,modulation of chemical synaptic transmission,,,
52,peptidyl-methionine modification (GO:0018206),GO:0018206,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,protein modification process,peptidyl-amino acid modification,,,
53,regulation of intracellular steroid hormone receptor signaling pathway (GO:0033143),GO:0033143,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,,,,
54,regulation of endocytic recycling (GO:2001135),GO:2001135,biological regulation,regulation of biological process,regulation of localization,regulation of cellular localization,regulation of intracellular transport,,,
55,histone H4 deacetylation (GO:0070933),GO:0070933,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,protein modification process,histone modification,histone deacetylation,,
56,positive regulation of monooxygenase activity (GO:0032770),GO:0032770,biological regulation,regulation of molecular function,positive regulation of molecular function,regulation of oxidoreductase activity,positive regulation of oxidoreductase activity,,,
57,regulation of protein complex disassembly (GO:0043244),GO:0043244,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,,,,
58,positive regulation of extracellular matrix organization (GO:1903055),GO:1903055,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of extracellular matrix organization,,,
59,acetylcholine receptor signaling pathway (GO:0095500),GO:0095500,biological regulation,regulation of biological process,postsynaptic signal transduction,,,,,
