pathway,score_adj,celltype,logFC,P.Value,names,shortened,highlight
'de novo' posttranslational protein folding (GO:0051084),2.1369982783899344,Excitatory,0.5272341092807953,0.007294604019419689,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),0.20914528840499394,Microglia,0.12393679362860413,0.6178096841813315,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),1.9667931514141945,Oligodendrocyte,0.4679577831354843,0.010794607323539918,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),1.6626414780803886,Astrocyte,0.49470752911217875,0.02174495543390837,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),1.0605898533019376,Inhibitory,0.35771053359716143,0.08697814611228169,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),2.6569628110682246,OPC,0.6346008537283009,0.0022031151092211593,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),1.2362408147074608,Endothelial,0.4135955384506782,0.05804424750345666,'de novo' posttranslational protein folding (GO:0051084),None,None
2-oxoglutarate metabolic process (GO:0006103),-0.9381190555035582,Astrocyte,-0.2786421330567612,0.11531370987560706,2-oxoglutarate metabolic process (GO:0006103),None,None
2-oxoglutarate metabolic process (GO:0006103),-0.5579610052542107,Microglia,-0.2941542701874413,0.2767190096715058,2-oxoglutarate metabolic process (GO:0006103),None,None
2-oxoglutarate metabolic process (GO:0006103),0.2128371678684682,Endothelial,0.09184272595685766,0.6125800262664431,2-oxoglutarate metabolic process (GO:0006103),None,None
2-oxoglutarate metabolic process (GO:0006103),-2.0511487989180135,Inhibitory,-0.5257687808290542,0.008888965100266401,2-oxoglutarate metabolic process (GO:0006103),None,None
2-oxoglutarate metabolic process (GO:0006103),-1.541139497236055,Oligodendrocyte,-0.42574767644915346,0.028764743305357516,2-oxoglutarate metabolic process (GO:0006103),None,None
2-oxoglutarate metabolic process (GO:0006103),-1.4521270575762886,Excitatory,-0.37422702974043,0.035307985732593784,2-oxoglutarate metabolic process (GO:0006103),None,None
2-oxoglutarate metabolic process (GO:0006103),-1.8661396440780744,OPC,-0.4759289264634453,0.013610069906847216,2-oxoglutarate metabolic process (GO:0006103),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),1.1749961446611141,Inhibitory,0.4150555629507712,0.06683498506482158,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),1.2556772803790566,Astrocyte,0.4435681404998706,0.055503800260480324,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),0.9917088690449677,OPC,0.31500874816208213,0.10192744335743606,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),1.6220199946435538,Excitatory,0.4948752300912782,0.02387701352120954,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),1.0425037227971985,Oligodendrocyte,0.35173016070618923,0.09067681916816629,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),1.202300854859499,Endothelial,0.39935694424499757,0.06276234258731805,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),0.20243050564602366,Microglia,0.0769258164193546,0.6274360881810102,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),-0.8168301016965238,Excitatory,-0.2425843872460512,0.15246490879503777,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),-0.6967784693367572,Inhibitory,-0.2245836631261451,0.20101178986187582,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),-1.6457907128385212,OPC,-0.46973766803984174,0.02260524858099143,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),-0.7658809861343515,Microglia,-0.3364067363134721,0.17144270639656525,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),-0.5733811284393532,Astrocyte,-0.19715355461171946,0.2670661658931067,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),0.6308796050022248,Endothelial,0.24359251439451485,0.23394857003595348,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),-3.241914544770115,Oligodendrocyte,-0.7630871872381055,0.0005729087499693768,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-1.3644936905200644,Endothelial,-0.34815386901998396,0.043202244404405954,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),0.018637481361607144,Astrocyte,0.010025886588734594,0.9579934034809989,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-0.2406390339791791,Inhibitory,-0.10948541919349505,0.5745938403233157,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-0.0689373908675395,Microglia,-0.03422833077294268,0.8532231082310883,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-0.09501070320785646,OPC,-0.049778473476514457,0.803506319490705,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),0.2814088962973597,Excitatory,0.13114768458500187,0.5231076890800614,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
4-hydroxyproline metabolic process (GO:0019471),1.4707661920975925,Excitatory,0.35177304385947555,0.03382468866672105,4-hydroxyproline metabolic process (GO:0019471),None,None
4-hydroxyproline metabolic process (GO:0019471),3.2844533828351263,Astrocyte,0.7034887448907561,0.0005194534286398486,4-hydroxyproline metabolic process (GO:0019471),None,None
4-hydroxyproline metabolic process (GO:0019471),-1.2186174882513812,Inhibitory,-0.3498744296711673,0.06044808010293552,4-hydroxyproline metabolic process (GO:0019471),None,None
4-hydroxyproline metabolic process (GO:0019471),0.555617336354875,OPC,0.31521887802743004,0.27821635958492763,4-hydroxyproline metabolic process (GO:0019471),None,None
4-hydroxyproline metabolic process (GO:0019471),1.10181730022156,Oligodendrocyte,0.3972741265547429,0.0791011322071726,4-hydroxyproline metabolic process (GO:0019471),None,None
