pathway,score_adj,celltype,logFC,P.Value,names,shortened,highlight
3'-UTR-mediated mRNA destabilization (GO:0061158),-2.5181963157447615,Microglia,-0.6599820496119555,0.0030325200730319836,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),-0.005777718866311643,Endothelial,-0.0027773197136202327,0.9867844136110308,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),-0.9186670618971053,Astrocyte,-0.33203617096208193,0.12059600971835525,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-0.2119380389383703,Endothelial,-0.12013407124815914,0.6138495772155037,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-3.856954980842771,Inhibitory,-0.728710325948048,0.00013900967217832667,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
7-methylguanosine RNA capping (GO:0009452),1.0256881496019343,OPC,0.31771941332591785,0.09425661746070688,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),-1.572117175965946,Astrocyte,-0.3839609823331688,0.026784455622642034,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),0.14705393391249144,Oligodendrocyte,0.0646726427279459,0.7127645082425609,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),0.38545878709734605,Endothelial,0.14749795158257467,0.411662410654002,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),0.7881798648692563,Inhibitory,0.19119765233174704,0.16286213926111448,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),0.4181633118683322,Excitatory,0.1068341226965492,0.3818006717186829,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine mRNA capping (GO:0006370),0.14705393391249144,Oligodendrocyte,0.0646726427279459,0.7127645082425609,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),-1.572117175965946,Astrocyte,-0.3839609823331688,0.026784455622642034,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),0.4181633118683322,Excitatory,0.1068341226965492,0.3818006717186829,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),1.0256881496019343,OPC,0.31771941332591785,0.09425661746070688,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),0.7881798648692563,Inhibitory,0.19119765233174704,0.16286213926111448,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),0.38545878709734605,Endothelial,0.14749795158257467,0.411662410654002,7-methylguanosine mRNA capping (GO:0006370),None,None
ATF6-mediated unfolded protein response (GO:0036500),1.3456927744861098,Endothelial,0.49720150643726946,0.04511357309169714,ATF6-mediated unfolded protein response (GO:0036500),ATF6-mediated unfolded protein response,no
ATF6-mediated unfolded protein response (GO:0036500),-0.03201693980128722,Inhibitory,-0.017632653351529054,0.9289301528424805,ATF6-mediated unfolded protein response (GO:0036500),ATF6-mediated unfolded protein response,no
ATF6-mediated unfolded protein response (GO:0036500),0.7225368409424294,Excitatory,0.2838140985246954,0.18943628098707244,ATF6-mediated unfolded protein response (GO:0036500),ATF6-mediated unfolded protein response,no
ATF6-mediated unfolded protein response (GO:0036500),-0.16465654198259927,Microglia,-0.13083771366817756,0.6844527267909436,ATF6-mediated unfolded protein response (GO:0036500),ATF6-mediated unfolded protein response,no
ATP biosynthetic process (GO:0006754),-0.3376317434244012,OPC,-0.13893535778294736,0.4595875512945079,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),-3.302449066145753,Microglia,-0.679787882019991,0.0004983689010154898,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),-0.23426787680879727,Endothelial,-0.10728839400550069,0.5830853409608912,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),-0.9485861589492034,Astrocyte,-0.24403721406656176,0.11256771255564504,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),0.04980387745960913,Inhibitory,0.021743181296927414,0.891653508000366,ATP biosynthetic process (GO:0006754),None,None
ATP generation from ADP (GO:0006757),-0.1439142712418782,Endothelial,-0.096478717259938,0.7179359962426146,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-1.8581891593863233,Astrocyte,-0.5556668073949612,0.01386151951148864,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-0.012184668372415936,Inhibitory,-0.00828905530944253,0.972333685342493,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-0.8846212416697871,OPC,-0.3813191434044717,0.1304303796281815,ATP generation from ADP (GO:0006757),ATP generation,no
