pathway,score_adj,celltype,logFC,P.Value,names,shortened,highlight
'de novo' posttranslational protein folding (GO:0051084),-1.3080918060437605,Oligodendrocyte,-0.41032361095929726,0.04919355338327988,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),-0.7316333374950278,Microglia,-0.28308666380298464,0.18550971683373077,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),-0.35412742094575794,Excitatory,-0.16886896262807824,0.442458537057173,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),1.1846723895854878,OPC,0.34941420897570924,0.06536234281165855,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),0.044535708577265604,Astrocyte,0.024634935565357362,0.9025354961125222,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),-0.7776664475684318,Inhibitory,-0.32111551832521423,0.16685282050496733,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),0.9352755423769963,Endothelial,0.2654495047991673,0.11607119551350852,'de novo' posttranslational protein folding (GO:0051084),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),-1.3100847371358768,Microglia,-0.39169943993413703,0.048968326575794835,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),-0.398605203710627,Astrocyte,-0.17670906331978356,0.3993878016901048,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),0.053048574202683316,Endothelial,0.03402383253293022,0.8850166185183398,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-2.3742641853546593,Inhibitory,-0.5030578041955932,0.004224115792202016,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-1.5685402132286181,OPC,-0.583561853325861,0.02700597036636941,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-0.04659378003219013,Endothelial,-0.019224544008475064,0.8982686026448512,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
ATF6-mediated unfolded protein response (GO:0036500),0.03533683698469161,Astrocyte,0.019510565931172244,0.9218561620266461,ATF6-mediated unfolded protein response (GO:0036500),ATF6-mediated unfolded protein response,no
ATF6-mediated unfolded protein response (GO:0036500),1.856277761117042,Endothelial,0.5098535240800024,0.013922660684620638,ATF6-mediated unfolded protein response (GO:0036500),ATF6-mediated unfolded protein response,no
ATF6-mediated unfolded protein response (GO:0036500),-0.8587692309293512,Inhibitory,-0.2600740590176375,0.13843017536636473,ATF6-mediated unfolded protein response (GO:0036500),ATF6-mediated unfolded protein response,no
ATF6-mediated unfolded protein response (GO:0036500),0.8325053896094774,Excitatory,0.3007478256703713,0.14706001650926215,ATF6-mediated unfolded protein response (GO:0036500),ATF6-mediated unfolded protein response,no
ATF6-mediated unfolded protein response (GO:0036500),-0.6414565771201531,Microglia,-0.30977146185241544,0.22831971984554095,ATF6-mediated unfolded protein response (GO:0036500),ATF6-mediated unfolded protein response,no
ATF6-mediated unfolded protein response (GO:0036500),0.012828344011220712,OPC,0.005863610949623815,0.9708936395753216,ATF6-mediated unfolded protein response (GO:0036500),ATF6-mediated unfolded protein response,no
ATP biosynthetic process (GO:0006754),1.826126332746927,Endothelial,0.45258981043282787,0.014923602309297243,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),-1.6832527831637047,Microglia,-0.49059310802030165,0.020737061556070673,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),-0.48636518493151204,OPC,-0.1721387388972523,0.32631332989100514,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),-0.2161577862332639,Astrocyte,-0.1036832209849171,0.6079140960952268,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),0.38685786928489063,Inhibitory,0.1544554530241768,0.4103383716597282,ATP biosynthetic process (GO:0006754),None,None
