#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0043005	Neuron projection	11	1366	0.97	2.83e-06	9606.ENSP00000221485,9606.ENSP00000236877,9606.ENSP00000244751,9606.ENSP00000262494,9606.ENSP00000340688,9606.ENSP00000361475,9606.ENSP00000362566,9606.ENSP00000379098,9606.ENSP00000444201,9606.ENSP00000478767,9606.ENSP00000484715	SLC17A7,SLC8A2,CPNE5,GNAO1,LPHN1,NCS1,HPCA,CAMK2B,SYT7,PPP1R9B,SRCIN1
GO:0120025	Plasma membrane bounded cell projection	12	2193	0.8	1.23e-05	9606.ENSP00000221485,9606.ENSP00000236877,9606.ENSP00000244751,9606.ENSP00000262494,9606.ENSP00000296575,9606.ENSP00000340688,9606.ENSP00000361475,9606.ENSP00000362566,9606.ENSP00000379098,9606.ENSP00000444201,9606.ENSP00000478767,9606.ENSP00000484715	SLC17A7,SLC8A2,CPNE5,GNAO1,HHIP,LPHN1,NCS1,HPCA,CAMK2B,SYT7,PPP1R9B,SRCIN1
GO:0030424	Axon	8	646	1.15	1.32e-05	9606.ENSP00000221485,9606.ENSP00000236877,9606.ENSP00000340688,9606.ENSP00000361475,9606.ENSP00000362566,9606.ENSP00000444201,9606.ENSP00000478767,9606.ENSP00000484715	SLC17A7,SLC8A2,LPHN1,NCS1,HPCA,SYT7,PPP1R9B,SRCIN1
GO:0045202	Synapse	10	1351	0.93	1.32e-05	9606.ENSP00000221485,9606.ENSP00000236877,9606.ENSP00000265459,9606.ENSP00000340688,9606.ENSP00000361475,9606.ENSP00000362566,9606.ENSP00000379098,9606.ENSP00000444201,9606.ENSP00000478767,9606.ENSP00000484715	SLC17A7,SLC8A2,NRXN2,LPHN1,NCS1,HPCA,CAMK2B,SYT7,PPP1R9B,SRCIN1
GO:0098793	Presynapse	7	526	1.19	4.62e-05	9606.ENSP00000221485,9606.ENSP00000236877,9606.ENSP00000265459,9606.ENSP00000340688,9606.ENSP00000361475,9606.ENSP00000444201,9606.ENSP00000484715	SLC17A7,SLC8A2,NRXN2,LPHN1,NCS1,SYT7,SRCIN1
GO:0036477	Somatodendritic compartment	8	852	1.03	5.55e-05	9606.ENSP00000236877,9606.ENSP00000244751,9606.ENSP00000262494,9606.ENSP00000361475,9606.ENSP00000362566,9606.ENSP00000444201,9606.ENSP00000478767,9606.ENSP00000484715	SLC8A2,CPNE5,GNAO1,NCS1,HPCA,SYT7,PPP1R9B,SRCIN1
GO:0044297	Cell body	7	588	1.14	7.31e-05	9606.ENSP00000236877,9606.ENSP00000244751,9606.ENSP00000262494,9606.ENSP00000362566,9606.ENSP00000444201,9606.ENSP00000478767,9606.ENSP00000484715	SLC8A2,CPNE5,GNAO1,HPCA,SYT7,PPP1R9B,SRCIN1
GO:0030425	Dendrite	7	612	1.12	8.49e-05	9606.ENSP00000236877,9606.ENSP00000262494,9606.ENSP00000361475,9606.ENSP00000362566,9606.ENSP00000444201,9606.ENSP00000478767,9606.ENSP00000484715	SLC8A2,GNAO1,NCS1,HPCA,SYT7,PPP1R9B,SRCIN1
GO:0098984	Neuron to neuron synapse	6	374	1.27	8.49e-05	9606.ENSP00000236877,9606.ENSP00000340688,9606.ENSP00000361475,9606.ENSP00000444201,9606.ENSP00000478767,9606.ENSP00000484715	SLC8A2,LPHN1,NCS1,SYT7,PPP1R9B,SRCIN1
GO:0098794	Postsynapse	7	643	1.1	8.85e-05	9606.ENSP00000221485,9606.ENSP00000236877,9606.ENSP00000340688,9606.ENSP00000361475,9606.ENSP00000362566,9606.ENSP00000478767,9606.ENSP00000484715	SLC17A7,SLC8A2,LPHN1,NCS1,HPCA,PPP1R9B,SRCIN1
