#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0030424	Axon	7	646	0.93	0.0054	9606.ENSP00000321106,9606.ENSP00000340688,9606.ENSP00000346733,9606.ENSP00000361475,9606.ENSP00000380638,9606.ENSP00000444201,9606.ENSP00000484715	TAC1,LPHN1,ACAP3,NCS1,PTK2B,SYT7,SRCIN1
GO:0042995	Cell projection	12	2287	0.61	0.0054	9606.ENSP00000296575,9606.ENSP00000314897,9606.ENSP00000321106,9606.ENSP00000340688,9606.ENSP00000345179,9606.ENSP00000346733,9606.ENSP00000360530,9606.ENSP00000361475,9606.ENSP00000370078,9606.ENSP00000380638,9606.ENSP00000444201,9606.ENSP00000484715	HHIP,ANGPT2,TAC1,LPHN1,APOD,ACAP3,NSMF,NCS1,PDE4A,PTK2B,SYT7,SRCIN1
GO:0045202	Synapse	10	1351	0.76	0.0054	9606.ENSP00000263354,9606.ENSP00000265459,9606.ENSP00000321106,9606.ENSP00000335614,9606.ENSP00000340688,9606.ENSP00000360530,9606.ENSP00000361475,9606.ENSP00000380638,9606.ENSP00000444201,9606.ENSP00000484715	NAPA,NRXN2,TAC1,PPFIA3,LPHN1,NSMF,NCS1,PTK2B,SYT7,SRCIN1
GO:0098793	Presynapse	7	526	1.02	0.0054	9606.ENSP00000263354,9606.ENSP00000265459,9606.ENSP00000335614,9606.ENSP00000340688,9606.ENSP00000361475,9606.ENSP00000444201,9606.ENSP00000484715	NAPA,NRXN2,PPFIA3,LPHN1,NCS1,SYT7,SRCIN1
GO:0098984	Neuron to neuron synapse	6	374	1.1	0.0054	9606.ENSP00000340688,9606.ENSP00000360530,9606.ENSP00000361475,9606.ENSP00000380638,9606.ENSP00000444201,9606.ENSP00000484715	LPHN1,NSMF,NCS1,PTK2B,SYT7,SRCIN1
GO:0043005	Neuron projection	9	1366	0.71	0.0083	9606.ENSP00000321106,9606.ENSP00000340688,9606.ENSP00000345179,9606.ENSP00000346733,9606.ENSP00000360530,9606.ENSP00000361475,9606.ENSP00000380638,9606.ENSP00000444201,9606.ENSP00000484715	TAC1,LPHN1,APOD,ACAP3,NSMF,NCS1,PTK2B,SYT7,SRCIN1
GO:0120025	Plasma membrane bounded cell projection	11	2193	0.59	0.0086	9606.ENSP00000296575,9606.ENSP00000321106,9606.ENSP00000340688,9606.ENSP00000345179,9606.ENSP00000346733,9606.ENSP00000360530,9606.ENSP00000361475,9606.ENSP00000370078,9606.ENSP00000380638,9606.ENSP00000444201,9606.ENSP00000484715	HHIP,TAC1,LPHN1,APOD,ACAP3,NSMF,NCS1,PDE4A,PTK2B,SYT7,SRCIN1
GO:0043025	Neuronal cell body	6	518	0.96	0.0087	9606.ENSP00000321106,9606.ENSP00000345179,9606.ENSP00000360530,9606.ENSP00000380638,9606.ENSP00000444201,9606.ENSP00000484715	TAC1,APOD,NSMF,PTK2B,SYT7,SRCIN1
GO:0150034	Distal axon	5	310	1.1	0.0087	9606.ENSP00000340688,9606.ENSP00000346733,9606.ENSP00000361475,9606.ENSP00000380638,9606.ENSP00000444201	LPHN1,ACAP3,NCS1,PTK2B,SYT7
GO:0014069	Postsynaptic density	5	344	1.06	0.0117	9606.ENSP00000340688,9606.ENSP00000360530,9606.ENSP00000361475,9606.ENSP00000380638,9606.ENSP00000484715	LPHN1,NSMF,NCS1,PTK2B,SRCIN1
GO:0030425	Dendrite	6	612	0.88	0.0117	9606.ENSP00000345179,9606.ENSP00000360530,9606.ENSP00000361475,9606.ENSP00000380638,9606.ENSP00000444201,9606.ENSP00000484715	APOD,NSMF,NCS1,PTK2B,SYT7,SRCIN1
GO:0036477	Somatodendritic compartment	7	852	0.81	0.0117	9606.ENSP00000321106,9606.ENSP00000345179,9606.ENSP00000360530,9606.ENSP00000361475,9606.ENSP00000380638,9606.ENSP00000444201,9606.ENSP00000484715	TAC1,APOD,NSMF,NCS1,PTK2B,SYT7,SRCIN1
GO:0098978	Glutamatergic synapse	5	361	1.04	0.0117	9606.ENSP00000263354,9606.ENSP00000335614,9606.ENSP00000361475,9606.ENSP00000380638,9606.ENSP00000444201	NAPA,PPFIA3,NCS1,PTK2B,SYT7
GO:0098794	Postsynapse	6	643	0.86	0.0125	9606.ENSP00000263354,9606.ENSP00000340688,9606.ENSP00000360530,9606.ENSP00000361475,9606.ENSP00000380638,9606.ENSP00000484715	NAPA,LPHN1,NSMF,NCS1,PTK2B,SRCIN1
GO:0097440	Apical dendrite	2	18	1.94	0.0249	9606.ENSP00000360530,9606.ENSP00000380638	NSMF,PTK2B
GO:0031045	Dense core granule	2	26	1.78	0.0468	9606.ENSP00000361475,9606.ENSP00000444201	NCS1,SYT7
