pathway,score_adj,celltype,logFC,P.Value,names,shortened,highlight
'de novo' posttranslational protein folding (GO:0051084),1.843801798070789,Excitatory,0.573195266922496,0.014328416657854927,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),1.9660554532200623,OPC,0.6118597673958264,0.010812958763995626,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),-0.03206947699734305,Microglia,-0.027045393042690033,0.9288177856911385,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),1.2041691023547183,Oligodendrocyte,0.3970055890108124,0.0624929315068505,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),0.9111940298125853,Inhibitory,0.39105307871650646,0.12268909704263944,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),1.1657900635234566,Astrocyte,0.46515731679953587,0.06826686140820618,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),0.893351550075572,Endothelial,0.39767557977181833,0.12783460973454877,'de novo' posttranslational protein folding (GO:0051084),None,None
2-oxoglutarate metabolic process (GO:0006103),-0.5726249147073288,Microglia,-0.3675797048634938,0.2675315990100717,2-oxoglutarate metabolic process (GO:0006103),None,None
2-oxoglutarate metabolic process (GO:0006103),-1.556431897083564,OPC,-0.5077222481948193,0.027769502732015637,2-oxoglutarate metabolic process (GO:0006103),None,None
2-oxoglutarate metabolic process (GO:0006103),-0.13123306572283958,Astrocyte,-0.0692779061271795,0.739208469664146,2-oxoglutarate metabolic process (GO:0006103),None,None
2-oxoglutarate metabolic process (GO:0006103),-0.9822762263839362,Oligodendrocyte,-0.3733131893826689,0.10416546900685329,2-oxoglutarate metabolic process (GO:0006103),None,None
2-oxoglutarate metabolic process (GO:0006103),-1.6998888248027122,Excitatory,-0.5181988131509586,0.019957731482525984,2-oxoglutarate metabolic process (GO:0006103),None,None
2-oxoglutarate metabolic process (GO:0006103),-1.1039213556176042,Inhibitory,-0.40238548699547366,0.07871883250881602,2-oxoglutarate metabolic process (GO:0006103),None,None
2-oxoglutarate metabolic process (GO:0006103),0.23671757228179785,Endothelial,0.12309320139023555,0.5798056294845562,2-oxoglutarate metabolic process (GO:0006103),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),0.35412973385667573,Excitatory,0.18651660063710945,0.44245618067343195,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),0.12794044835457147,Microglia,0.06301429150129832,0.7448341005899191,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),1.59355266922479,Endothelial,0.6038260236387374,0.02549454882961221,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),0.06942287638289064,Inhibitory,0.048543889346252894,0.8522698471666991,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),0.4168691453366861,Astrocyte,0.23540499431541603,0.38294010732111605,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),0.1409619228396373,OPC,0.07988669239047907,0.72283317587459,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),0.23086129858225618,Oligodendrocyte,0.13215285972223798,0.5876770100363526,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),-1.8086618920543789,OPC,-0.6181736567593885,0.015535960484581475,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),-1.4562270074304484,Excitatory,-0.46177472478096265,0.03497622971134693,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
