,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
0,regulation of release of cytochrome c from mitochondria (GO:0090199),GO:0090199,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,regulation of organelle organization,regulation of mitochondrion organization,,
1,calcineurin-NFAT signaling cascade (GO:0033173),GO:0033173,biological regulation,regulation of biological process,intracellular signal transduction,second-messenger-mediated signaling,calcium-mediated signaling,calcineurin-mediated signaling,,
2,regulation of pH (GO:0006885),GO:0006885,homeostatic process,chemical homeostasis,monoatomic ion homeostasis,monoatomic cation homeostasis,,,,
3,positive regulation of calcium ion transport into cytosol (GO:0010524),GO:0010524,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cellular localization,positive regulation of monoatomic ion transport,positive regulation of calcium ion transport,regulation of calcium ion transmembrane transport,
4,protein targeting to mitochondrion (GO:0006626),GO:0006626,cellular process,cellular localization,cellular macromolecule localization,mitochondrial transport,protein targeting,protein localization to mitochondrion,,
5,semaphorin-plexin signaling pathway involved in neuron projection guidance (GO:1902285),GO:1902285,biological regulation,regulation of biological process,cell surface receptor signaling pathway,semaphorin-plexin signaling pathway,,,,
6,regulation of metal ion transport (GO:0010959),GO:0010959,biological regulation,regulation of biological process,regulation of localization,regulation of transport,regulation of monoatomic ion transport,,,
7,branched-chain amino acid catabolic process (GO:0009083),GO:0009083,cellular process,catabolic process,small molecule catabolic process,amino acid catabolic process,carboxylic acid metabolic process,,,
8,in utero embryonic development (GO:0001701),GO:0001701,developmental process,multicellular organism development,embryo development,embryo development ending in birth or egg hatching,chordate embryonic development,,,
9,regulation of cell cycle phase transition (GO:1901987),GO:1901987,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell cycle,regulation of cell cycle process,,,
10,regulation of glutamate receptor signaling pathway (GO:1900449),GO:1900449,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,,,,
11,establishment of protein localization to mitochondrion (GO:0072655),GO:0072655,cellular process,establishment of localization,establishment of protein localization,establishment of protein localization to organelle,protein localization to organelle,protein localization to mitochondrion,,
12,endothelial cell migration (GO:0043542),GO:0043542,cellular process,cell motility,cell migration,ameboidal-type cell migration,epithelial cell migration,,,
