pathway,score_adj,celltype,logFC,P.Value,names,shortened,highlight
'de novo' posttranslational protein folding (GO:0051084),-0.47194667047114147,Excitatory,-0.2593014918800479,0.33732872865944974,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),0.04716601997453553,OPC,0.042941168767569524,0.8970857953661755,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),0.37198802057648106,Inhibitory,0.20013027988713572,0.42463127666189726,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),-0.053662938859274284,Microglia,-0.04213105488252492,0.8837655353195091,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),1.4110163078867801,Astrocyte,0.4796095907756045,0.03881357911027728,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),1.0578910293625343,Oligodendrocyte,0.42378780678262185,0.08752033485970205,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),0.7121469790534493,Endothelial,0.3126865515390583,0.1940229131273568,'de novo' posttranslational protein folding (GO:0051084),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),0.05278068439344753,Endothelial,0.028563533844423755,0.885562699761063,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),-2.34749445472778,Microglia,-0.739596225747841,0.004492680610954547,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),-1.3189586423387791,Astrocyte,-0.5131650701880097,0.04797791356048868,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-2.470686225310195,Inhibitory,-0.5870394410821045,0.0033830917391326166,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-0.8968156890569976,Endothelial,-0.44713144683196404,0.12681899608726918,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
7-methylguanosine RNA capping (GO:0009452),0.4686638921581416,Excitatory,0.13831051631735208,0.3398882160657498,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),0.7511444436102326,Inhibitory,0.21815851434445913,0.17735994947579262,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),0.4859267374406519,Endothelial,0.20963973975294473,0.32664292999116806,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),0.0645205032861183,OPC,0.03713055017631081,0.8619448848436344,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),-1.4888526097247665,Astrocyte,-0.43632840214964463,0.03244497099715091,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),0.033788752066949757,Oligodendrocyte,0.019487231590346408,0.9251480716509728,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine mRNA capping (GO:0006370),-1.4888526097247665,Astrocyte,-0.43632840214964463,0.03244497099715091,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),0.033788752066949757,Oligodendrocyte,0.019487231590346408,0.9251480716509728,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),0.7511444436102326,Inhibitory,0.21815851434445913,0.17735994947579262,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),0.0645205032861183,OPC,0.03713055017631081,0.8619448848436344,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),0.4686638921581416,Excitatory,0.13831051631735208,0.3398882160657498,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),0.4859267374406519,Endothelial,0.20963973975294473,0.32664292999116806,7-methylguanosine mRNA capping (GO:0006370),None,None
ATF6-mediated unfolded protein response (GO:0036500),-0.06778559133049329,Microglia,-0.06923438754921174,0.8554889585883141,ATF6-mediated unfolded protein response (GO:0036500),ATF6-mediated unfolded protein response,no
ATF6-mediated unfolded protein response (GO:0036500),0.8057757062792876,Excitatory,0.3646246542463332,0.15639551471493102,ATF6-mediated unfolded protein response (GO:0036500),ATF6-mediated unfolded protein response,no
ATF6-mediated unfolded protein response (GO:0036500),0.0649129122463368,Inhibitory,0.04092636894388552,0.8611664219590985,ATF6-mediated unfolded protein response (GO:0036500),ATF6-mediated unfolded protein response,no
ATF6-mediated unfolded protein response (GO:0036500),1.5012821676401178,Endothelial,0.6388778511152797,0.03152955435306081,ATF6-mediated unfolded protein response (GO:0036500),ATF6-mediated unfolded protein response,no
ATP biosynthetic process (GO:0006754),-0.23006935467486386,Endothelial,-0.12502008408851878,0.5887496274523106,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),0.07648200716331036,Astrocyte,0.035613264339619435,0.8385288181825892,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),-0.1310997809027128,OPC,-0.07335204412335793,0.7394353672929506,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),-2.796861574632026,Microglia,-0.702836274679556,0.0015963878927473868,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),0.4745960404346221,Inhibitory,0.18503526273654022,0.3352771526354792,ATP biosynthetic process (GO:0006754),None,None
ATP metabolic process (GO:0046034),0.4962144887778042,Oligodendrocyte,0.2057820827243375,0.31899620118236444,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),0.7099075788899526,Excitatory,0.23817279938779107,0.19502595854092025,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),0.19984935022084338,Endothelial,0.09070105429799057,0.6311762514125903,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),1.8173615308185862,Astrocyte,0.5255622962900721,0.015227845756645868,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),1.0142935395013106,OPC,0.34357800528384974,0.09676236186925144,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),2.0639562569411876,Inhibitory,0.43998903969303804,0.008630654731692068,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),-0.5552174029988607,Microglia,-0.23042516046456477,0.2784726816314349,ATP metabolic process (GO:0046034),None,None
B cell differentiation (GO:0030183),0.7681452063045168,Oligodendrocyte,0.2965588574658576,0.17055120559251255,B cell differentiation (GO:0030183),B cell differentiation,no
B cell differentiation (GO:0030183),0.13009854539617965,Endothelial,0.0996160792033049,0.7411420502993578,B cell differentiation (GO:0030183),B cell differentiation,no
B cell differentiation (GO:0030183),0.3254247244575358,Inhibitory,0.16765602386261294,0.4726887601573767,B cell differentiation (GO:0030183),B cell differentiation,no
