pathway,score_adj,celltype,logFC,P.Value,names,shortened,highlight
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-1.6214338807404927,OPC,-0.7080958456241615,0.023909259146818677,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-2.2932021409032544,Inhibitory,-0.5791960524762474,0.005090938598817482,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-0.17911129614136242,Endothelial,-0.07801607143659675,0.6620468199924244,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
ATP biosynthetic process (GO:0006754),0.40320642052274713,Inhibitory,0.18888488469160164,0.3951787466417096,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),1.8415704649066504,Endothelial,0.5389989749074593,0.014402223131385847,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),-0.5177194110558758,OPC,-0.21384958845880975,0.3035851953706541,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),-1.105066312889252,Microglia,-0.42461115086336343,0.078511574529386,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),-0.2685139679077349,Astrocyte,-0.14722867565095393,0.5388725137172126,ATP biosynthetic process (GO:0006754),None,None
ATP generation from ADP (GO:0006757),-0.27231560261803067,Inhibitory,-0.15163236339230307,0.5341760315864644,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-1.2302139506179992,Astrocyte,-0.5192555246408989,0.058855363915207654,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-0.11417664011503877,Endothelial,-0.08482803324375415,0.7688176763213553,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-0.8951485558730333,Microglia,-0.46144604354830127,0.12730675378154505,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-1.08694759373074,OPC,-0.436331915473916,0.08185635581534899,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-0.004294559656047094,Excitatory,-0.0032481841294893787,0.9901601422913318,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-2.2333917431070187,Oligodendrocyte,-0.6877070683482742,0.00584262828551421,ATP generation from ADP (GO:0006757),ATP generation,no
ATP metabolic process (GO:0046034),1.3517337542916181,Endothelial,0.38943507462590277,0.04449039337499738,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),1.6169106934773128,OPC,0.4462353601763765,0.02415957590903604,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),-0.3272382617359783,Microglia,-0.14835953842192606,0.4707190106598743,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),0.40311991718342094,Excitatory,0.13877083021617323,0.3952574666975718,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),-0.3151594949292222,Oligodendrocyte,-0.17329508923794582,0.4839945876160203,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),0.7435774263385158,Inhibitory,0.258123791653475,0.18047729522038092,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),0.2178392689594689,Astrocyte,0.10940394473200829,0.6055649509962405,ATP metabolic process (GO:0046034),None,None
ATP synthesis coupled electron transport (GO:0042773),1.4491191559933592,Excitatory,0.5085962596532522,0.035553375852136505,ATP synthesis coupled electron transport (GO:0042773),None,None
ATP synthesis coupled electron transport (GO:0042773),0.17275980900515278,Inhibitory,0.12437183439716673,0.6718002962102432,ATP synthesis coupled electron transport (GO:0042773),None,None
B cell receptor signaling pathway (GO:0050853),-2.034235203607966,OPC,-0.49829380515199306,0.00924197514887445,B cell receptor signaling pathway (GO:0050853),None,None
B cell receptor signaling pathway (GO:0050853),-0.5788739261651822,Oligodendrocyte,-0.31929858446120507,0.2637096812671282,B cell receptor signaling pathway (GO:0050853),None,None
B cell receptor signaling pathway (GO:0050853),-0.18335547937301502,Astrocyte,-0.09356695608562948,0.6556084170332294,B cell receptor signaling pathway (GO:0050853),None,None
B cell receptor signaling pathway (GO:0050853),0.24485421936158122,Inhibitory,0.1339040937637798,0.569043911081244,B cell receptor signaling pathway (GO:0050853),None,None
B cell receptor signaling pathway (GO:0050853),-0.7320501578544822,Endothelial,-0.25678118667498434,0.18533175663523932,B cell receptor signaling pathway (GO:0050853),None,None
B cell receptor signaling pathway (GO:0050853),0.02819950494953354,Microglia,0.016170425717949105,0.9371314112991783,B cell receptor signaling pathway (GO:0050853),None,None
BMP signaling pathway (GO:0030509),0.10008880079284975,Endothelial,0.04078189893771736,0.7941658339361981,BMP signaling pathway (GO:0030509),None,None
BMP signaling pathway (GO:0030509),0.01321911662442351,Inhibitory,0.006640206331882566,0.9700204348199237,BMP signaling pathway (GO:0030509),None,None
BMP signaling pathway (GO:0030509),1.414804451907156,OPC,0.37811187299837073,0.038476498968804326,BMP signaling pathway (GO:0030509),None,None
BMP signaling pathway (GO:0030509),0.32940669623397556,Oligodendrocyte,0.16572321269112256,0.46837456609175365,BMP signaling pathway (GO:0030509),None,None
BMP signaling pathway (GO:0030509),0.03615811692807072,Astrocyte,0.02135929451021081,0.9201145176036961,BMP signaling pathway (GO:0030509),None,None
BMP signaling pathway (GO:0030509),0.30935804793377825,Excitatory,0.12199503217661797,0.4905033208957106,BMP signaling pathway (GO:0030509),None,None
BMP signaling pathway (GO:0030509),-1.1109515181638265,Microglia,-0.3536023565118074,0.07745482585507374,BMP signaling pathway (GO:0030509),None,None
CENP-A containing chromatin organization (GO:0061641),2.576331590771219,Excitatory,0.5591053858537883,0.002652579501806528,CENP-A containing chromatin organization (GO:0061641),None,None
CENP-A containing chromatin organization (GO:0061641),1.0487310378662902,Inhibitory,0.3141892619896585,0.08938588864899175,CENP-A containing chromatin organization (GO:0061641),None,None
CENP-A containing chromatin organization (GO:0061641),1.2072864430603996,Microglia,0.48276511700202496,0.06204596691624793,CENP-A containing chromatin organization (GO:0061641),None,None
