,H20.33.020,H20.33.044,H21.33.003,H21.33.004,H21.33.005,H21.33.009,H21.33.023,H21.33.044
A2M,5.509827497848981,4.336647273941874,4.460924058355676,4.483084512893475,4.024228696849413,5.56827266454169,5.441484473932298,4.089541900899981
A2ML1,5.747460286346068,5.26692311963782,5.5111450952562295,6.46621875568255,6.1909562796754045,5.56827266454169,6.197465149649406,5.749818053616412
A4GALT,5.632167144451059,3.45755285631601,4.34359643115954,2.692272112240375,4.127799891869085,5.517180248297746,4.037395964147665,3.6924153816959016
AAAS,4.849400556188303,5.192102700091966,4.946246832870625,5.070786950498707,5.258862469184415,4.193364438949988,5.064580526010469,4.955193581181903
AACS,5.394539105046932,5.8427332718108245,5.412359860086278,5.592619599902618,5.626615022764973,5.346082925228774,5.3741673752405505,5.630874739089757
AADAT,4.419276242386453,5.207521339847911,4.654436789923614,5.528329398357206,4.92235412591816,3.692552122106949,5.001206762442821,4.63247778997209
AAGAB,5.925401198875965,6.458557710136636,6.04336271149449,6.209655702420771,5.906036418671594,5.7075366044865925,6.11504179977354,5.658556067203815
AAK1,7.398291385381324,7.354433225631876,7.172945619681651,7.310219828710847,7.458516099691743,7.45964117615543,7.3809243474535675,7.461002788381911
AAMDC,6.182144703990404,5.999939078175714,5.942588190072835,6.133724461110575,6.050251028221622,6.181702975899972,6.168273000727434,6.120393182422048
AAMP,4.138221030954703,5.02323281924959,5.099381275918667,4.588426078028021,4.538808855956184,4.657691205854373,4.522114855738643,4.55324563860716
AAR2,4.458033658029991,4.737742745925858,4.378546439504126,4.770719208363683,4.812855271006364,3.692552122106949,4.713785354407767,5.376570540098651
AARS2,4.169143769283265,4.916558841680443,4.103551316602519,4.54761118999608,4.6321573211553435,3.9739876374554255,4.272531613239903,4.212732876463443
AARSD1,4.785726583415429,5.636386087591956,4.692789745367646,5.330274079738743,5.170398700381184,5.059988520543948,4.90775737749038,5.220171651543915
AASDH,6.271579761956562,6.47160944014329,6.181259164306597,6.4948559975078055,6.420751669950926,5.406427108529764,6.65083453673964,6.120393182422048
AASDHPPT,5.156777375178325,5.152482794575903,5.465870679182006,5.130678970633416,5.39240514486816,4.774419424969037,5.328063031742087,5.220171651543915
AASS,7.1009890653540815,7.6191225165048655,7.528076546771347,7.561239519146293,7.144082822198926,6.713066417229742,7.324870823890896,7.14921395357395
AATF,6.183499674201131,5.996469451055438,5.929928896624324,6.004150073888514,6.08559181513287,6.067543127279169,6.023071173414849,5.8891646889011735
AATK,5.471936357719511,5.420336461809874,4.88088407971986,5.852430421112487,5.822289301479976,5.517180248297746,5.606987005000653,5.94194433331318
ABAT,7.08077005938437,6.647529491506098,6.62356658728204,6.823650094720169,6.900650823280153,6.5214323814393325,7.004259609217276,6.906867915467105
ABCA1,7.824893098065952,7.195910215289711,7.8490243145661776,7.6959839082624555,7.204093831775537,8.818839192461263,7.579527428195151,7.223265818349151
ABCA2,5.867677996597654,5.726831047308683,5.451291496825862,5.670118501402053,5.978167088376484,5.749957840872131,5.482745768223694,5.867247320043324
ABCA3,6.526325896591461,6.50141691007134,6.7712698922293,6.072168877367834,6.016099947196599,7.18459499970264,5.958979463696087,6.356772032960367
ABCA5,5.351917770572345,5.503363955470901,5.1948961235529625,5.6356343541787375,5.573967911468089,4.878935285561112,5.081189307139067,5.376570540098651
ABCA7,4.4731255826135845,4.440698902434147,4.717564822150062,4.217439020456481,4.82925137345525,4.878935285561112,4.12683235933584,4.15303319241253
ABCB10,5.865819341943553,5.886353649908906,5.7245804137874785,5.888493649183196,5.962581666774509,5.059988520543948,6.058816935218855,5.774433020266937
