"","H20.33.020","H20.33.044","H21.33.003","H21.33.004","H21.33.005","H21.33.009","H21.33.023","H21.33.044"
"'de novo' posttranslational protein folding (GO:0051084)",0.198236839040842,0.0284088836376513,0.16567773219324,-0.530041225083232,0.438785506175563,0.440094433709691,-0.48441381094588,0.0813449173243986
"2-oxoglutarate metabolic process (GO:0006103)",-0.388580681036942,0.20845449345769,0.273217100211785,0.151014028149653,-0.160462005549303,-0.239539928694898,0.0630985986625639,0.36979830353579
"3'-UTR-mediated mRNA destabilization (GO:0061158)",0.487979259451242,-0.441042576130084,0.222241004820437,-0.499420400478436,-0.463938832033598,0.266941210870132,-0.378862234306469,0.386206717617154
"3'-UTR-mediated mRNA stabilization (GO:0070935)",0.0227825621957533,0.043473802932418,0.434191817454608,0.0230115732102354,-0.441639370303665,0.151016319198777,-0.0535657966974492,-0.0736623326379309
"3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427)",0.38707648687457,0.247654822631585,-0.244070212003404,0.0264925839077458,-0.167655207625544,-0.201578231951032,0.179007973536819,0.23134566712969
"4-hydroxyproline metabolic process (GO:0019471)",0.182787602670643,-0.563029118375439,-0.563478680320966,-0.155476067468923,0.421191557644559,0.161098530603766,-0.383920357175626,0.382973065303103
"5S class rRNA transcription from RNA polymerase III type 1 promoter (GO:0042791)",-0.161138025853933,0.291020152501323,0.370467127984169,3.28776872822178e-05,0.153860503335337,-0.591409224205437,0.0930406209129554,0.218427145248719
"7-methylguanosine RNA capping (GO:0009452)",-0.206073870249287,0.598816344078493,0.102610504416871,0.025610782743063,0.304686494019433,-0.432607096341065,0.163707302584006,-0.265763152889865
"7-methylguanosine mRNA capping (GO:0006370)",-0.206073870249287,0.598816344078493,0.102610504416871,0.025610782743063,0.304686494019433,-0.432607096341065,0.163707302584006,-0.265763152889865
"AMP metabolic process (GO:0046033)",0.722745613741883,-0.621935784248212,-0.762100417428073,-0.0819376274184748,-0.0770728707594635,-0.225865269134048,0.131706597796269,0.46564350682256
"ATF6-mediated unfolded protein response (GO:0036500)",-0.0664256811490442,0.0593111138715828,0.0923599474508573,-0.357379021923066,0.0593663488157108,0.172430022047262,-0.323770074933077,0.116387452005837
"ATP biosynthetic process (GO:0006754)",0.0596264146553086,0.335777428361972,-0.446680164574173,0.245577752123569,-0.248127020220669,0.0411502819646814,-0.0908282156559258,0.0776585459426716
"ATP generation from ADP (GO:0006757)",-0.229298253595419,-0.34623760980563,0.251713286366434,-0.430765821872406,0.230196844270317,0.270800073344568,-0.490328134650941,0.125072569792954
"ATP hydrolysis coupled cation transmembrane transport (GO:0099132)",-0.286627785793222,-0.524062467217025,0.762523674667517,0.0862970175258796,-0.0824448309609504,0.235895750376977,-0.249001065354788,0.0165905298297636
"ATP hydrolysis coupled proton transport (GO:0015991)",-0.286627785793222,-0.524062467217025,0.762523674667517,0.0862970175258796,-0.0824448309609504,0.235895750376977,-0.249001065354788,0.0165905298297636
"ATP metabolic process (GO:0046034)",-0.130832128540996,0.0937397768974072,0.0384422335921017,-0.18447920045132,0.336033845344309,-0.115027426123495,-0.121647835714369,0.165279385789631
"ATP synthesis coupled electron transport (GO:0042773)",-0.632060208128126,0.630067624872394,0.410045168394977,-0.097257910094027,0.632992495623219,-0.552053065469385,0.305002137420717,-0.37711762150431
"ATP synthesis coupled proton transport (GO:0015986)",-0.0831198114174275,0.460489904683856,-0.0221388108490843,0.0484112044323021,-0.331223716293296,-0.0562482522496509,-0.0963593590325708,0.282717147439114
"ATP-dependent chromatin remodeling (GO:0043044)",-0.264679102591599,0.0746869358937805,0.0135629572311222,0.155216297024319,-0.147620062072151,0.103917325456357,-0.351389921233555,0.232348904175029
"Arp2/3 complex-mediated actin nucleation (GO:0034314)",0.157215201264033,0.115316583282618,0.0754129391573298,-0.241033218252335,-0.244816418051487,0.202595777035301,-0.523279685202355,-0.152765737831117
"B cell activation (GO:0042113)",0.19462536055641,-0.455272451914457,-0.355596095412584,-0.272918597567725,-0.160406240630632,0.473736330060653,-0.253321606992398,0.376392933083459
"B cell activation involved in immune response (GO:0002312)",-0.432188413538659,0.265111276409571,0.611401792104888,0.212063245182035,-0.265119423714175,-0.157647310757731,-0.152762310691709,-0.428229595740306
"B cell differentiation (GO:0030183)",0.293731056447537,-0.558113736744119,-0.421154902513089,-0.288188145933887,-0.192718871902059,0.516117263227777,-0.292362215796372,0.320068643972922
"B cell homeostasis (GO:0001782)",0.131204276930543,-0.210872145376856,0.04545521535701,-0.471208153954647,-0.476007333031273,0.348667004676746,-0.122055521026349,0.629911361642292
"B cell receptor signaling pathway (GO:0050853)",0.300007333364783,-0.432239597946352,0.129443326763542,-0.526044401520602,-0.0613655261592953,0.394880205241901,-0.257712737917466,0.179198903347814
"BMP signaling pathway (GO:0030509)",0.251162897063898,-0.0728055352424629,0.400807611717897,-0.347329333293187,-0.246091805791749,0.262123222705308,-0.00502009981942006,-0.409242484313556
"C-terminal protein amino acid modification (GO:0018410)",0.0127241813757132,-0.273400549423359,-0.178580739441937,0.310452475016671,-0.256999546326538,0.242068183516743,-0.123260502107545,0.189223045799705
"C-terminal protein lipidation (GO:0006501)",-0.0963802061617574,-0.250806544009094,-0.0863966508365498,0.320640879727162,-0.158916003685335,0.152933907363149,-0.152069669617172,0.24990462060594
"C21-steroid hormone biosynthetic process (GO:0006700)",0.554063749103262,-0.456730607908476,-0.30955042250007,-0.280882334125503,0.754854152496318,-0.414985345086666,0.389592399167206,-0.474037875255071
"C21-steroid hormone metabolic process (GO:0008207)",0.554120541205351,-0.451212782843201,-0.363995863391806,-0.405955417557199,0.709393757582534,-0.0290378274973064,0.224341690243667,-0.394835481798302
"CENP-A containing chromatin organization (GO:0061641)",-0.18649750712997,0.532791014655736,-0.315225654684952,0.419166253938786,0.130902415220549,-0.173362884202851,0.424790941049951,-0.0601787550786646
"CENP-A containing nucleosome assembly (GO:0034080)",-0.18649750712997,0.532791014655736,-0.315225654684952,0.419166253938786,0.130902415220549,-0.173362884202851,0.424790941049951,-0.0601787550786646
"COPI coating of Golgi vesicle (GO:0048205)",-0.257384683184086,0.448677351126565,0.493304600831503,-0.529725297253075,-0.0138391036863562,0.490139455366905,-0.486059919935431,-0.471932700738587
"COPI-coated vesicle budding (GO:0035964)",-0.257384683184086,0.448677351126565,0.493304600831503,-0.529725297253075,-0.0138391036863562,0.490139455366905,-0.486059919935431,-0.471932700738587
"COPII vesicle coating (GO:0048208)",-0.149171300694779,0.104779815008903,0.0608734180938552,0.16257757823721,0.11427061176605,-0.0431866420259545,-0.144513358083391,-0.20517847734664
"COPII-coated vesicle budding (GO:0090114)",-0.15878958799337,0.0496929878989914,0.0481814996906358,0.224395672633388,0.134355520128686,-0.0313137947908201,-0.0561572844259533,-0.264759157948328
"Cdc42 protein signal transduction (GO:0032488)",0.217863062690969,-0.416786162953273,0.0911169012296156,-0.43693483589002,-0.0348652819060231,0.524608858118267,0.106467047028286,-0.0579008614651343
"DNA alkylation (GO:0006305)",0.221370180171292,-0.0589340103258097,-0.164311244221613,0.00203218534978522,-0.0144879102983725,0.0962401602712053,-0.116198367426218,0.222818777366555
"DNA biosynthetic process (GO:0071897)",-0.0661993779356472,0.292501567669126,0.0857181310946559,0.275772292154031,-0.323170416780659,-0.180536253512877,-0.115345610572253,-0.0502795580314451
"DNA catabolic process (GO:0006308)",0.187844801832519,0.254063155193932,-0.0745277645866919,-0.0270664286121742,-0.19366539306781,-0.31427034829585,0.478614201508146,-0.209999095750731
"DNA catabolic process, endonucleolytic (GO:0000737)",0.0925338915939246,0.0954228539950154,0.0740957172834628,-0.109903764194109,0.210445944436073,-0.10093278038949,-0.0232002437080852,-0.121129400899854
"DNA conformation change (GO:0071103)",-0.238262555817408,0.189624141509127,0.48455720415815,-0.0193723275076259,0.195786835638219,0.351301566647801,-0.359327654139528,-0.246952282773174
"DNA damage checkpoint (GO:0000077)",0.124020275872419,0.0949495485383628,0.0684338311387891,-0.106608018951799,0.0584061307119673,0.0180782657151111,-0.051042775292487,-0.165332408265675
"DNA damage induced protein phosphorylation (GO:0006975)",-0.389735637990861,-0.0749364833936015,0.231815416688375,-0.0643196323536015,-0.234058462997594,0.241691821694643,-0.240614846508919,0.01905536451625
"DNA damage response, signal transduction by p53 class mediator (GO:0030330)",0.0761111381048997,0.00390566369660078,0.174318943516095,-0.059741863744734,-0.0705112109616681,0.0695750709641569,0.204385031381902,-0.128436335504399
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)",0.0342505677647966,0.118375903815411,0.20032241436329,-0.164889588872106,-0.123253631222118,0.105761586339106,0.283747862738033,-0.0783477119305915
"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator (GO:0006978)",0.249273963223284,0.296977460136295,0.0429479294793065,0.00835637655406851,0.143243136328715,-0.059656952304221,-0.459444585581652,-0.151647896375577
"DNA damage response, signal transduction resulting in transcription (GO:0042772)",0.249273963223284,0.296977460136295,0.0429479294793065,0.00835637655406851,0.143243136328715,-0.059656952304221,-0.459444585581652,-0.151647896375577
"DNA dealkylation (GO:0035510)",0.465829817485809,0.170706818816643,-0.432294019192486,0.0713058732286857,-0.64924482154988,0.0725891201750357,-0.0499566058273558,0.273619167495655
"DNA dealkylation involved in DNA repair (GO:0006307)",0.465829817485809,0.170706818816643,-0.432294019192486,0.0713058732286857,-0.64924482154988,0.0725891201750357,-0.0499566058273558,0.273619167495655
"DNA double-strand break processing (GO:0000729)",0.044376871212312,0.0196176946142193,-0.13328628228557,0.182812751561042,-0.309988751134778,-0.0640616285705079,0.389532275231391,-0.332158074748457
"DNA duplex unwinding (GO:0032508)",-0.204628816136376,0.413668646553476,0.351320707418668,0.264723952006756,-0.205408276174971,-0.231430424195192,-0.0627567977680101,-0.25623205650758
"DNA geometric change (GO:0032392)",-0.0883951083488132,0.335988744107129,0.34484220068517,0.23894611930568,-0.146707004779542,-0.269576349482335,-0.0524564034822258,-0.194934996194487
"DNA ligation (GO:0006266)",-0.212757022696149,0.482619575221549,-0.100852343873933,0.304617106775743,0.0768644447562826,-0.0670060011036066,0.0944760451261065,-0.201476327479189
"DNA ligation involved in DNA repair (GO:0051103)",-0.159322609889389,0.517009727287229,0.0244855436390347,0.276940103888874,0.276116929288793,-0.21054690375487,-0.101155021715312,-0.148484873224906
"DNA metabolic process (GO:0006259)",-0.0556996862080908,0.294826644426312,0.118294440877097,0.0902817425831809,-0.0511946769063405,-0.21488160198636,0.0374886141581002,-0.120769946854807
"DNA methylation (GO:0006306)",0.0493153775285652,-0.0452390898510789,-0.168854689316546,0.0027358137887292,-0.0143778793557578,0.0990867032312778,-0.189574490255643,0.297037308370172
"DNA methylation or demethylation (GO:0044728)",0.221370180171292,-0.0589340103258097,-0.164311244221613,0.00203218534978522,-0.0144879102983725,0.0962401602712053,-0.116198367426218,0.222818777366555
"DNA modification (GO:0006304)",-0.427038129376914,0.479576588494787,0.239155474786118,0.359551126782001,0.252573519356867,-0.162757575677789,-0.517436321716812,-0.197469589173368
"DNA packaging (GO:0006323)",-0.0724897163242743,-0.181058601074736,0.195557093927116,0.0976732031246303,0.0310812372243916,-0.0374822000659696,-0.461528623552737,0.0222124894112649
"DNA recombination (GO:0006310)",0.191467546886021,0.131667975096165,0.0866337313330612,0.158663829823637,-0.255886416615996,-0.276022900936717,0.109546017754652,0.0756062235817811
"DNA repair (GO:0006281)",-0.0687730183806487,0.305663642835403,0.0617812587767947,0.117316305307653,-0.174717875378237,-0.219378437476554,0.0594879076740439,-0.0831776010239718
"DNA replication (GO:0006260)",0.0192988892143378,0.230693913698801,0.119635206863731,0.00396179714054834,-0.0773209629442069,-0.122733176882097,0.0525964112321417,-0.100831392613732
"DNA replication checkpoint (GO:0000076)",0.0768740122294428,-0.063787765013717,-0.645500665953133,-0.300682543490057,0.410589657350788,0.116470940429803,0.593107824599349,-0.0675612242799536
"DNA replication initiation (GO:0006270)",-0.228467356053529,0.418132115017234,0.349600411309037,0.189928841866708,0.071687100050416,-0.423646684374709,0.0237836656619869,-0.509626726620881
"DNA replication-independent nucleosome assembly (GO:0006336)",-0.245351229128077,0.366109821595415,-0.279688215488599,0.294988369799253,0.121299444452142,0.0567808189385078,0.325591516393199,-0.0887405259369967
"DNA replication-independent nucleosome organization (GO:0034724)",-0.376473468316863,-0.0835106023185619,-0.324531907999401,0.17698221532603,0.25621386816068,0.401147565595243,-0.140922374978883,0.0869476058648561
"DNA strand elongation (GO:0022616)",-0.244544926046253,0.449832888421768,0.558583861774604,0.569018242979755,-0.602091020910469,0.10871110784015,-0.66971929557687,-0.0477100335318601
"DNA strand elongation involved in DNA replication (GO:0006271)",-0.570668252731062,0.144839915409086,0.273918139765186,0.663186364889158,0.0461114992593702,0.128223339261097,-0.333963229037575,-0.242185478568752
