,H20.33.020,H20.33.044,H21.33.003,H21.33.004,H21.33.005,H21.33.009,H21.33.023,H21.33.044
A2M,4.7611824674816186,5.356281576390388,4.564542904319152,5.60610928179159,5.11359665820673,3.7092777687695935,4.967481461392674,5.136892880789288
A4GALT,2.8130110894408644,2.8833937517172235,3.005974952031649,3.595061910769158,2.9315131440879356,2.736255226008308,2.843085360998246,2.555109783547494
AAAS,1.9338379797942804,0.0,1.1058110968998975,1.6266267477532825,1.6287572955490413,1.725853160344329,2.035709279514744,2.070116842574494
AACS,2.117219329654755,2.383579899051038,2.407699033875083,1.6266267477532825,1.6287572955490413,2.140434461733723,1.9030897691833606,1.7828807806241975
AAGAB,2.893256936896049,3.322099546154404,3.50696150185567,3.239467254808807,3.0674797592877137,3.0264347747470133,3.588799497715921,2.762594634175196
AAK1,4.332941902270736,4.5708277191030575,4.702028391295446,4.760372885690621,4.350114563031072,4.092187588113046,4.677703905642552,4.237984461883802
AAMDC,2.873791057155624,2.9591237438888136,2.088879391036284,2.8534050691423682,2.6850171997771377,2.206106685833525,2.257574797033686,1.9367766216664757
AAMP,1.9829310566083675,1.8908419745719085,2.088879391036284,1.6266267477532825,2.357160154254243,1.9945374766009498,1.5695299805605238,2.070116842574494
AAR2,1.6440329457621419,1.3382778459224656,1.8007499112443908,1.6266267477532825,2.2186676992584653,1.4958175087318835,1.9030897691833606,1.6009158890605062
AARS2,1.1275239578110012,1.8908419745719085,1.8007499112443908,2.354760298261074,0.8611353999468706,1.4958175087318835,1.5695299805605238,2.070116842574494
AARSD1,1.7701956909044656,2.08333152339942,2.088879391036284,2.0555515743404755,1.8661526173960055,1.725853160344329,1.5695299805605238,1.6009158890605062
AASDH,1.9338379797942804,2.8833937517172235,2.088879391036284,1.8639120685444677,2.774106248355024,1.9945374766009498,2.152782498056175,1.6009158890605062
AASDHPPT,2.37434789600531,2.383579899051038,1.9551562769193536,2.0555515743404755,2.478784849764186,2.482078880542139,2.352419832010022,2.934339157135896
AASS,4.114213020600978,3.6982011363403937,3.699390265085239,3.8852275068738837,3.8594392345396438,3.9016043241559966,3.712256319016473,3.4554069521499082
AATF,3.3617637773277096,3.0952853205830007,3.724089416594459,3.064952101611252,2.478784849764186,2.482078880542139,2.8970026570025476,2.388205507990961
ABAT,2.6549311265229067,2.383579899051038,2.494791706400749,2.2163051721593705,3.0674797592877137,1.6174353518170137,2.725658307788481,1.0915156554742163
ABCA1,5.075399268526081,4.912645068297022,4.564542904319152,4.93148480293146,4.5847125467048935,4.353663205165139,5.212817735279936,4.923887134158819
ABCA10,5.099037294169615,5.174903258328302,4.553959594293858,5.331251932337853,5.685811120422149,3.66593880535754,4.545500251733732,4.383917578381352
ABCA2,2.029726367774379,1.3382778459224656,1.6180702843976418,1.6266267477532825,1.3168614017492504,1.1965419820152294,1.065467262227521,1.9367766216664757
ABCA3,2.6301611760097026,2.383579899051038,3.005974952031649,2.9992862662937094,2.8559036204694466,1.8236578278691138,2.661333315307475,2.1877511638471225
ABCA4,1.007958226240152,2.383579899051038,1.6180702843976418,1.8639120685444677,2.357160154254243,1.004847904997286,2.035709279514744,1.7828807806241975
ABCA5,4.031263230396653,4.267061876149434,3.699390265085239,4.235720435113195,3.9939341569507634,4.390101725305969,4.184712574019978,4.014879193215271
ABCA6,4.758200715624276,4.613562497165667,3.7947248170061374,4.794766500521809,5.428162157453588,3.18165389509737,4.525102083025939,4.100385677221786
ABCA8,5.272158658200709,4.972837066347414,4.575015379865333,4.8495842990519735,5.676497123969136,4.252197975593469,4.461285541761662,4.500313387223672
ABCA9,5.693058991280895,5.486730215931247,4.915974232150291,5.5441488968914205,6.079257146620059,4.235632064047137,5.3968201445950506,4.698962856717591
ABCB1,5.6313986242675655,5.811972843931737,5.673702125380454,6.965507025460381,5.300382338541702,4.542479481887958,6.366677466033713,6.073859908755723
ABCB10,2.467082505629818,2.61418812636035,2.7826973075051593,2.2163051721593705,2.774106248355024,2.482078880542139,2.592584420753953,2.1877511638471225
ABCB7,3.162094271989628,2.80145535612436,2.7826973075051593,3.55693895418526,3.704002402465665,2.6172211092869047,3.4172025684427147,3.357001525494191
ABCB8,2.0744294209628373,1.8908419745719085,1.9551562769193536,1.8639120685444677,1.3168614017492504,1.725853160344329,1.5695299805605238,1.7828807806241975
ABCB9,1.7091026299723349,2.08333152339942,1.8007499112443908,2.92900347769277,2.2186676992584653,0.7674787785342916,2.035709279514744,1.3783070971861482
ABCC4,3.3248925897358244,3.7975840463005937,4.553959594293858,4.582088446276096,2.478784849764186,2.907715916274636,4.170124724829994,3.60054370169207
ABCC5,2.893256936896049,3.215109282926768,3.05479065572679,3.1846111747417707,3.478604096635269,2.3806369129232063,2.8970026570025476,2.8803032656136507
ABCC9,5.021799887902268,4.719325772802985,4.499294773529261,3.595061910769158,3.59764040128118,5.448643900479051,3.7576656109155864,4.768549655981622
ABCD3,3.7876386968395406,3.322099546154404,3.9995643616329026,3.8568439979660893,3.3434590467754064,3.7906978385007655,3.9581287762793402,3.6272043257849074
ABCD4,2.3073740434052326,2.8833937517172235,1.8007499112443908,2.476356213688435,2.5872081025456986,1.8236578278691138,2.257574797033686,2.1877511638471225
ABCE1,2.949479345426397,2.7121989777009547,3.3426004160240197,2.476356213688435,2.5872081025456986,2.736255226008308,2.152782498056175,2.6291588959827896
ABCF1,2.2355906542820114,2.08333152339942,2.574903197443123,2.7716207067445127,1.6287572955490413,2.529184955034135,2.035709279514744,2.1877511638471225
ABCF2,1.9829310566083675,1.6522499145841454,2.088879391036284,1.8639120685444677,1.8661526173960055,1.3573339418232513,1.3489278815878047,1.6009158890605062
ABCG1,3.1911350316905116,2.383579899051038,2.649070123004758,3.291469990439911,0.8611353999468706,2.9387428862107274,3.712256319016473,2.698100752911253
ABCG2,3.4089014317270547,4.982526020802666,4.429490302516138,5.565231814262592,4.134575033843584,2.5741715150240827,5.025356292444897,4.959223822702642
ABHD10,1.574432685092057,2.08333152339942,1.6180702843976418,0.8596056742820876,2.478784849764186,1.1965419820152294,2.257574797033686,1.0915156554742163
ABHD12,2.6549311265229067,2.9591237438888136,2.574903197443123,2.9992862662937094,2.8559036204694466,2.6172211092869047,3.0432380374886225,2.8231798662129206
ABHD13,2.7482964804402625,2.505516854193337,2.718114084634088,2.2163051721593705,2.478784849764186,1.9127432018654205,2.725658307788481,1.0915156554742163
ABHD14B,1.418761916311528,0.8780637391015212,1.6180702843976418,2.0555515743404755,2.2186676992584653,0.7674787785342916,1.3489278815878047,2.1877511638471225
ABHD16A,2.3073740434052326,1.8908419745719085,1.9551562769193536,0.8596056742820876,2.5872081025456986,1.9127432018654205,2.786094484095384,2.388205507990961
