"","H20.33.020","H20.33.044","H21.33.003","H21.33.004","H21.33.005","H21.33.009","H21.33.023","H21.33.044"
"'de novo' posttranslational protein folding (GO:0051084)",0.0975286661731352,0.181461565257058,0.034948836449742,-0.422745168752,-0.0469643677818892,0.401625448879318,-0.513418991368046,0.482438648118903
"2-oxoglutarate metabolic process (GO:0006103)",-0.0429988391316861,-0.00979043958670286,0.0978395883131078,0.204951011985191,0.0444946762438661,0.0785121624046336,-0.46434251625962,0.116020548762593
"3'-UTR-mediated mRNA destabilization (GO:0061158)",-0.21060380337346,-0.401958922922189,0.207165475620683,0.0198753411325435,0.318042964575554,0.236303959539905,-0.553233040903179,0.52553350916585
"3'-UTR-mediated mRNA stabilization (GO:0070935)",0.362418411021791,-0.291449980809633,0.450522083869389,-0.204611967879144,-0.0887143714535827,0.116095261527928,-0.207686427058876,0.331344464603659
"3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427)",-0.337895361894617,0.0354932477706646,0.31372371927559,0.0718197377249379,0.0412002481560269,-0.335194209405737,0.318981543953393,-0.0207079042110232
"7-methylguanosine RNA capping (GO:0009452)",-0.17371038176903,0.264671337838122,0.0194238709651893,-0.263556016379822,-0.111898229118508,-0.00383593294566707,0.303861088937454,0.0593516156005297
"7-methylguanosine mRNA capping (GO:0006370)",-0.17371038176903,0.264671337838122,0.0194238709651893,-0.263556016379822,-0.111898229118508,-0.00383593294566707,0.303861088937454,0.0593516156005297
"ATF6-mediated unfolded protein response (GO:0036500)",0.44708352059939,0.141985790765785,-0.186770295009162,-0.414723782377602,0.196341891732709,0.40564266739467,-0.48347378278209,0.0820755482241446
"ATP biosynthetic process (GO:0006754)",0.0230832488736614,0.0955437869532001,-0.0790952894495466,-0.344584059572892,-0.00922332208022808,0.40922162392496,-0.157370656323809,0.107299732343542
"ATP generation from ADP (GO:0006757)",0.321553994185456,-0.245442232495199,-0.113214053679283,-0.4954565427293,-0.295730896278046,0.70812184454834,-0.340617461827712,-0.0364856062595228
"ATP metabolic process (GO:0046034)",0.0698755926970894,0.0431214146846062,-0.0994803752926288,-0.270043114432634,0.0718950977775105,0.360326836343912,-0.148282517632795,0.112168222475107
"ATP synthesis coupled electron transport (GO:0042773)",-0.531780137645788,0.0461360364574571,0.495880295137342,-0.378420147168461,0.353864176395266,0.0690668601051999,-0.590908339883484,0.573058428245346
"ATP synthesis coupled proton transport (GO:0015986)",-0.453340629303092,0.472911149835209,0.0810894423500723,-0.47681469496739,-0.236524953183264,0.211856094985884,0.0187614983889426,0.281509827030715
"ATP-dependent chromatin remodeling (GO:0043044)",0.0205575055955051,0.0725228298712964,0.124401161896533,-0.249005999365856,-0.287533729503152,-0.155179859720576,0.270569701076653,0.0868108253749007
