,H20.33.020,H20.33.044,H21.33.003,H21.33.004,H21.33.005,H21.33.009,H21.33.023,H21.33.044
A1BG,6.23515075704556,7.089000700513633,6.331987379732651,6.55368653409633,6.079590684474989,6.423308036240071,6.778809522352644,6.073337233644113
A2M,6.199798573763151,7.044652578086435,6.579249918506323,6.542450779976669,6.165636215479396,4.973340256238373,7.266062472639187,5.505190464521618
A2ML1,5.794148884984009,6.920914694938294,6.161583630554649,6.516699029013342,5.985438289826037,5.266371426623292,7.0743789135794355,5.923649412812807
AAAS,7.484191643433763,7.63599214073001,7.36441328695195,7.323093969198692,7.756157920812268,7.438709336934055,7.442240509308723,7.3103117245928955
AACS,9.9900011168764,10.092011339369995,9.91692953274337,10.051773674688393,9.911040654350264,10.043932210192834,9.997653292150261,9.998068962681845
AADAT,8.0092997527251,8.270300279600157,8.02514938649088,8.246661761704484,8.062250106408921,8.118208588885368,8.150259170311031,7.839686471431391
AAGAB,9.067336779272155,9.46176882796971,9.367403273629078,9.52807706195082,9.106282585689932,9.014818432869353,9.351078968434084,9.168491691591786
AAK1,11.237351391945715,11.240380786255505,11.285417942575972,11.217420407720732,11.225474594095804,11.30022092337668,11.284773715602187,11.240736184560784
AAMDC,8.705810262706843,8.654148611005388,8.43446703050751,8.487024048551463,8.51361616946904,8.570140876343254,8.519101471512943,8.174046752103997
AAMP,6.946828451861708,7.846491724476821,7.411086749812183,7.290207523186952,6.873264450501843,7.180130999723452,7.1035300616396055,6.781573936757941
AAR2,7.6112400745430415,7.872917725868133,7.504775208618929,7.690640506439072,7.517059586472933,7.48234896577774,7.568481237332232,7.821344625190059
AARS2,7.292240706338824,7.944873942618958,7.398249173297754,7.60485109156127,7.54750248195443,7.146793932440243,7.449365346501565,7.014112756851252
AARSD1,8.433977233354916,9.028702530960757,8.31675412403072,8.663959554641764,8.622401137588026,8.16826408490139,8.50651120088639,8.589706520663722
AASDH,8.640708456850048,8.997135365853538,8.67852522967319,8.656483545171001,8.826864325576938,8.564681682929983,8.785584463729329,8.69193976857702
AASDHPPT,9.069652116535174,8.99046304521708,9.231220632151572,8.884067783167948,9.033233996100508,9.367259977863357,8.880973268352506,9.019895853589192
AASS,7.198686733729699,6.771762798150665,6.278018958898574,6.751363954987269,6.463403486221904,6.63001861985507,6.525203391774869,5.791855616547079
AATF,8.887680013016807,8.979279012126867,8.970666419219402,8.959964034598503,8.825473017903551,8.61649316857951,8.974109589002662,8.611911055301984
AATK,9.757011398227206,9.668862700152333,9.253090712397519,9.487160007358321,9.590580042505396,9.517786969601671,9.428606267791734,9.448249747237217
ABAT,9.684748097568646,9.809640234859776,9.600622664233832,9.652889584386966,9.492756362513198,9.636080955346912,9.557098617735466,9.247472183359967
ABCA1,7.094488453795343,6.61399040843299,7.264343745146298,7.349906592198444,6.925136305624774,7.532979147272251,7.176503717166084,6.36859252881418
ABCA10,9.780740999146609,9.894073528972955,9.85154905174375,10.428055427221175,9.904909484627105,10.134481855706076,10.090392971926004,10.10516752500033
ABCA2,8.849762961143107,9.142248468018304,8.513434589742642,8.675069807013791,8.948815448149203,8.9248904384555,8.667990163594919,9.078692625189094
ABCA3,10.026818003216173,10.064764030444177,9.693960945719173,9.805748439834527,9.884564345802698,9.78960984968454,9.765660509368187,9.66277696218628
ABCA5,10.485517169089992,10.84824074094249,10.567195881169228,10.760225666054938,10.671720227898179,10.670582779969727,10.569210519854296,10.58065418316965
ABCA6,9.077646364117731,8.898108748549488,8.934628686234555,9.453760656245683,9.214646532931054,9.088793068774319,9.285003171647551,9.35933562645058
ABCA7,7.731758654508748,8.296792452654199,7.966333941547005,8.019142036412594,8.181940011755337,8.155983141000123,7.932934691074086,7.808446429197923
ABCA9,8.922479540505208,8.923713240820783,8.6415784657768,9.439677028337746,9.165760260933293,9.044535836601563,9.093422780831784,9.237847740185446
ABCB1,7.694254512607167,8.377497211019177,7.73809385841724,8.078171084734825,7.328053498653797,7.497240629341198,8.519986838380307,7.105561371622651
ABCB10,8.612100848278546,8.921980269056833,8.894859888410476,8.974090999667853,8.724032767383216,8.48367688450718,8.88451369364363,8.506427217739194
ABCB6,7.673038996031607,8.022286499093118,7.705372216793093,7.755892246111407,7.883313872209665,7.889932352975885,7.615758763551984,7.14273169172423
ABCB7,8.852302173799275,8.953956035327089,8.973945901600427,8.780095116988132,8.910099123103864,9.014569117722743,8.724014738626297,8.875027979466932
ABCB8,8.444962575731823,8.916414491284423,8.472691556631457,8.583994713943035,8.56498093084485,8.174637268646801,8.669991631449664,8.265776903069561
ABCB9,9.867279884547141,9.692845244079733,9.256823962087642,9.529787680001958,9.720162004908248,9.632861415459647,9.466021530195158,9.360558388932928
ABCC1,9.41238789390533,9.338326491388289,9.100496370050058,9.231078428241426,9.264464706935687,9.298536034439172,9.218660713481743,9.354122140785865
ABCC10,8.246961528450775,8.579321322764782,8.221326566814326,8.326625009292338,8.483555212490177,8.217040748515958,8.316147413709086,8.154850010029122
ABCC12,5.3702423050402475,7.029421776049186,6.366111076973567,6.062243204249653,5.982028096434434,4.973340256238373,6.279403747983038,5.56132060287689
ABCC3,7.686690368554426,7.370126648913174,6.84303975761024,6.828535498755518,7.372399384247623,8.064225819140221,6.557211170278186,8.725358643758675
ABCC4,8.033744718183357,8.620643887236746,8.36997355199053,8.446092780093684,8.014179447538734,7.535170958335788,8.440707157393575,8.385254496875978
ABCC5,10.235737839506056,10.465446222499208,10.402632548399257,10.337689842518527,10.307153865689031,9.963945082138283,10.343304701121697,10.139817065408096
ABCC8,9.595419809338487,9.705601770694653,9.62746670248166,9.501657537540058,9.596945237435996,9.366734122210824,9.51214552238251,9.37421241811046
ABCC9,7.633792906703907,8.016583853886859,8.082001970183116,7.915035930614138,8.029726756528287,7.746534728428368,7.583549886270436,7.940664059848692
ABCD2,8.850271319744374,8.542827907602378,8.736432080044523,8.648865302302799,8.881738885345206,8.558405891898277,8.763371434498485,8.34895531641139
