"","H20.33.020","H20.33.044","H21.33.003","H21.33.004","H21.33.005","H21.33.009","H21.33.023","H21.33.044"
"'de novo' posttranslational protein folding (GO:0051084)",0.138655957223055,-0.393011712082159,0.146821213191539,-0.363866876316821,0.287137734081424,0.260776439625714,-0.516169637651399,0.296139293334148
"2-oxoglutarate metabolic process (GO:0006103)",-0.100750632316811,0.382595242557597,-0.0138730747176983,0.436428997366039,-0.35360064220735,0.00147302516108441,-0.082685394197785,-0.321564098590491
"3'-UTR-mediated mRNA destabilization (GO:0061158)",0.608275696736896,-0.309147756442284,-0.393549822496871,-0.502267200092141,-0.526851769904745,0.398166603180925,0.00491394068515028,0.299859552005891
"3'-UTR-mediated mRNA stabilization (GO:0070935)",-0.0884007590232541,-0.130339565349083,0.131313938390886,0.383940151319202,-0.462427803432638,0.27086151889736,0.0735831942317657,-0.231872786832902
"3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427)",0.0426111314630791,0.402819103221941,-0.408330556795481,-0.17010782589471,0.528001641961707,-0.097572724762858,-0.0115307701620229,-0.135599359952193
"4-hydroxyproline metabolic process (GO:0019471)",0.14142788805717,-0.0125563897810397,-0.165895670977393,-0.293749420264042,0.0424358867262275,0.224035301796349,-0.512150640831643,0.0148409770040381
"5S class rRNA transcription from RNA polymerase III type 1 promoter (GO:0042791)",-0.517228864511119,0.5082747888993,-0.0365836971262604,0.391059480021246,-0.30721216165598,0.0540595854178816,0.20154846282934,0.214354887529241
"7-methylguanosine RNA capping (GO:0009452)",-0.372427308985647,0.431904842550692,0.223308959162992,-0.0757311903660286,-0.06779750560353,-0.152902829361299,-0.0595779634087705,-0.027711171727908
"7-methylguanosine mRNA capping (GO:0006370)",-0.372427308985647,0.431904842550692,0.223308959162992,-0.0757311903660286,-0.06779750560353,-0.152902829361299,-0.0595779634087705,-0.027711171727908
"AMP metabolic process (GO:0046033)",0.747436619073599,-0.517441397258195,-0.665766583267668,0.078703846521414,0.244674630356645,0.0777765430638852,0.599342480970156,-0.47380002834939
"ATF6-mediated unfolded protein response (GO:0036500)",0.157215187634151,-0.503660256862651,0.460853419199041,-0.488269762711283,0.0267050755696457,0.134536642433363,-0.158163498899482,0.302027090765045
"ATP biosynthetic process (GO:0006754)",0.0462855533825139,0.17960245535169,0.00659309602209299,0.13713130616893,-0.408866337176939,-0.155888857879703,0.258974003610454,0.214484168209415
"ATP generation from ADP (GO:0006757)",-0.365953669840246,0.322002908143444,0.294514628833081,0.0606996845489586,-0.397809028213216,0.467846253674183,-0.345604473545372,-0.162587740131456
