,H20.33.020,H20.33.044,H21.33.003,H21.33.004,H21.33.005,H21.33.009,H21.33.023,H21.33.044
AAAS,6.157525791569134,6.383199457320138,6.047326819101527,6.146357367087523,6.640489178517734,6.1198278865323354,6.271565522424991,6.243124593253661
AACS,8.034695667577047,8.212520283165238,7.8968030567010565,8.117103496121223,7.866080287172981,8.1677629013937,7.93547026779424,8.157211080009425
AADAT,6.543443244866232,6.978336068915933,6.79258912781985,6.945280213013288,6.874694121104751,6.884181198032402,6.839212301415004,6.877728010818936
AAGAB,7.280842422529717,7.690220854518624,7.616521175499423,7.827245873071048,7.323880216267481,7.2503441208815635,7.673295404914865,7.427175390297235
AAK1,10.005399952329666,10.278422881242127,10.179427777948783,10.193902101237521,10.141755606099903,10.127822980148865,10.183874780640433,10.023410910802198
AAMDC,7.418071907516891,7.51826224522562,7.343008141971686,7.224754979233769,7.189883088903624,7.2623632696145455,7.289168344207211,7.120783916306616
AAMP,5.503042924320027,6.705358152875109,6.018014297555973,5.9687764842453035,5.755419369004536,5.611357067671748,5.812172294110035,5.559856674036973
AAR2,6.38211000840773,6.62982435461616,6.327944949011447,6.488863881540539,6.323494511390224,6.245361702651349,6.391223299883171,6.676815957741503
AARS2,6.1621779558548315,7.017125334615906,6.409467633745288,6.732179042226131,6.440683370528278,6.044859812568915,6.48882505629529,6.0595941706169425
AARSD1,7.024730774252991,7.654660541160535,6.798934352871482,7.293183116437981,7.364832577654096,6.905135421631366,7.062796601699805,7.114122630505683
AASDH,7.61538301522567,8.00100411053854,7.560414667385026,7.631524517567989,7.73130075752225,7.589817007693985,7.768854202525657,7.680527578255327
AASDHPPT,7.531666728279949,7.86140621584533,7.809692692811966,7.574803778672511,7.641322246258759,7.8239927033651115,7.593380340941704,7.697453437804869
AATF,7.609942033662119,7.679292543384362,7.521496470322438,7.57807097073909,7.466108936944687,7.321188068806254,7.5794174685841105,7.3589228874375925
AATK,8.599155648547928,8.510215081884919,8.07827779904712,8.348115887604356,8.450822311148238,8.198013427228293,8.260914861304615,8.191927007691882
ABAT,8.980187613662627,9.249209483992976,9.091955786115557,9.111722664724514,8.97175456548239,9.103501088667436,9.013293684527486,8.823359553336498
ABCA1,7.970606773640451,7.3059143253950065,7.99739197762716,7.830418879363935,7.784612650956934,7.90258103798228,7.966181340618933,7.3999286804073385
ABCA10,8.611656042658442,8.89998985091626,8.773973977930813,9.351200852025695,8.83019987885683,8.916153180816568,8.973112791161126,8.771214091733853
ABCA2,7.34401011164125,7.575595363662359,7.109667578697618,7.25712171909158,7.600559883751849,7.396340239377155,7.205346611819548,7.337771699341761
ABCA3,8.513635435247089,8.710631535966423,8.328680590163556,8.474671576711755,8.604337571996307,8.290677532412772,8.407492076515355,8.313840986739503
ABCA5,9.23822749512033,9.66250476827656,9.36964954519439,9.561543448884683,9.506183256854213,9.445880603365367,9.33784908925024,9.389887517154614
ABCA6,7.852866920714257,7.921700258539336,7.894528220374173,8.378117337215848,8.084273542341418,7.897620088379111,8.175793195022507,8.038580378788177
ABCA7,6.324612801121648,6.690700936903622,6.29708298073217,6.34113926425831,6.809132217531008,6.713456484721367,6.489986755726483,6.049954932734076
