"","H20.33.020","H20.33.044","H21.33.003","H21.33.004","H21.33.005","H21.33.009","H21.33.023","H21.33.044"
"'de novo' posttranslational protein folding (GO:0051084)",0.0433629089300998,0.159191556517716,0.181902127653823,-0.403434777437402,0.346082784923568,0.306486215662048,-0.535432611461107,0.13713652014596
"2-oxoglutarate metabolic process (GO:0006103)",-0.515164106626449,0.383824119881167,0.113450169304258,0.416429030963975,-0.380952736595828,-0.379626272479793,-0.106675779711345,-0.0203044671760919
"3'-UTR-mediated mRNA destabilization (GO:0061158)",0.656648366986135,0.0112044771786384,0.04225877986302,-0.485700952200062,0.261244027153253,0.465055197617061,-0.450624121856362,-0.60558715696813
"3'-UTR-mediated mRNA stabilization (GO:0070935)",-0.158183692749607,-0.0888348422154986,0.144205352102372,0.152981526426104,0.15584417573167,-0.0769792025450701,0.245649128286323,-0.365014768342273
"3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427)",0.236257371679336,0.401220609594133,-0.0188173540582629,-0.0850615652192071,0.21010163636202,-0.322976027380179,-0.0266236253777398,-0.290606592496234
"4-hydroxyproline metabolic process (GO:0019471)",-0.337102747522168,0.272571163203497,0.320642427331552,0.302998865655592,0.252525388036765,-0.52154089513353,-0.173756615416835,-0.0709236232919299
"5S class rRNA transcription from RNA polymerase III type 1 promoter (GO:0042791)",-0.534866908989217,0.0954685028379989,-0.194040319689043,0.523825859894921,0.35921799649825,-0.0784643819030803,-0.158007397593608,0.0161905648087812
"7-methylguanosine RNA capping (GO:0009452)",-0.21524656440896,0.466791824916814,-0.0573425234711522,-0.089165293918558,0.0150644564014386,-0.281449992016107,-0.0754808918227686,0.244457346028037
"7-methylguanosine mRNA capping (GO:0006370)",-0.21524656440896,0.466791824916814,-0.0573425234711522,-0.089165293918558,0.0150644564014386,-0.281449992016107,-0.0754808918227686,0.244457346028037
"AMP metabolic process (GO:0046033)",0.537147919033208,-0.522191348993677,-0.598083067818037,-0.518677690853704,0.047410012533703,0.448588039798716,0.711083900846674,-0.255912166906375
"ATF6-mediated unfolded protein response (GO:0036500)",-0.147815705232304,0.240566086695779,0.556156113092339,-0.571192559501269,-0.0843905324537767,-0.379919960646645,0.0721399981383484,0.366894567407261
"ATP biosynthetic process (GO:0006754)",-0.310935523621368,0.092081947076742,0.18536688496742,0.458057428257991,-0.240860990932983,-0.0475267944966355,0.0936042655138716,-0.0709869716680916
"ATP generation from ADP (GO:0006757)",-0.463530755999235,0.429919602465,0.289947728666733,0.119795910072059,-0.211608990224296,0.439679341121701,-0.2095558173001,-0.313307330754027
"ATP metabolic process (GO:0046034)",-0.251249012716526,0.330443161807839,0.205664156657614,-0.0350309486486509,-0.0799251388596422,0.13077797100009,-0.0630674216733756,-0.153029031887564
"ATP synthesis coupled electron transport (GO:0042773)",-0.392501997418714,0.456904359578582,0.441920652570976,-0.286285846182163,0.301580802922769,-0.351429880824708,0.0326305549104063,-0.0794896386660014
"ATP synthesis coupled proton transport (GO:0015986)",-0.672166836565996,0.719160893351952,0.107519179711745,0.237721656788593,-0.00665290828835111,0.307142352888333,-0.586857269137584,0.0311112471657265
"ATP-dependent chromatin remodeling (GO:0043044)",0.111079824148596,-0.0657772096486568,-0.270795444379901,0.122620835721311,0.161424323200888,-0.0258648908288322,-0.370255161895971,0.213466301051325
"AV node cell action potential (GO:0086016)",0.399324519862379,-0.349262222792582,-0.622098613422319,-0.622064357070713,0.222579886516165,0.445943264539512,-0.145961794478313,0.395256266028126
"Arp2/3 complex-mediated actin nucleation (GO:0034314)",-0.29225156218485,0.386328803034636,0.0736286233732105,0.168061024651355,-0.0681735855491864,-0.142803735707327,-0.264400091729254,-0.0190579138747135
"B cell activation (GO:0042113)",0.212755592263526,-0.200953846140112,0.113665335705985,-0.0363951445273256,-0.0664983005296325,-0.12862200964571,-0.242442609920048,-0.0434272826565084
"B cell activation involved in immune response (GO:0002312)",0.0783610594074976,0.402817670134585,-0.371005391830913,0.188291431828975,0.0893062144260144,0.0577788922639219,-0.16653746914635,-0.260081369788868
