,H20.33.020,H20.33.044,H21.33.003,H21.33.004,H21.33.005,H21.33.009,H21.33.023,H21.33.044
A2M,6.318579368000027,6.639079999535623,6.100473130109,7.2646644060554815,6.827641702823325,5.7970937471474855,6.4894901500866125,6.830506664802085
AACS,3.6996156351142426,3.9580555308577527,3.904592300270075,4.010950836276516,4.119727657402908,3.687396201995855,3.8606225928654156,3.4801570232209937
AAGAB,4.684698157464844,5.007392258089764,4.875441324429831,5.073022903042535,4.707124100048713,4.862346807149651,5.042074936776527,4.4920518020941955
AAK1,6.99074733795957,6.950217172901697,6.856818851322639,7.089491614153297,7.024256134023757,6.956301819640247,7.020691289522877,6.9325738562844545
AAMDC,4.443620565014076,4.009719285962669,3.5196404848553677,4.392234768199615,4.289008995515395,4.183669966132818,4.5239770335226375,4.075071149853276
AARSD1,3.655636073304793,4.400641009033421,3.8155376515421437,3.992937125818974,3.7815556270903086,3.0613033788306674,3.9332255125085105,3.058701602646378
AASDH,4.612534599317134,4.482358482796966,4.115106156135991,4.439854439383208,4.403339221786603,3.5447381620401006,4.366780558830589,4.396724832204919
AASDHPPT,4.106396973764437,3.613282542366853,3.717770021911336,3.955905986988564,4.119727657402908,4.310213002832943,3.9505815145626335,4.189042845175674
AASS,4.429895821271141,4.4979301567358485,4.0619454242912605,4.905424132370052,4.695668280410188,4.776659602305256,4.152445293149592,4.469058379223735
AATF,5.410187278040721,5.369472698738852,5.5149513382772914,5.242907692703833,4.992545942179323,4.9845832739339455,5.417997998232709,5.224288297570591
AATK,3.4389330007370145,3.7196886411057943,3.6093977320620483,4.248223303823073,3.8374472825177848,3.6186089423186414,3.502212027923701,2.958544040743801
ABAT,5.010827680662403,4.802007906757773,5.011042121714954,5.066831499136122,5.128436817563458,4.367945810897982,4.988687302482399,4.706095216920492
ABCA1,6.065389078112184,4.400641009033421,5.642642068713695,5.811379066274012,5.478077363739538,6.3823333488599845,5.984190370013843,5.965486954314343
ABCA2,3.457375372298239,3.9035765255422716,3.231393979085572,3.6745840853374054,3.988514851793725,3.5699729592674987,3.604554929180324,2.9044335899858775
ABCA3,4.077332059504071,4.1282839549530115,3.3494279133267058,3.8774571183872606,4.355931612327046,3.0613033788306674,3.7823329216268284,3.7757393791546954
ABCA5,4.197597484885411,4.802007906757773,4.587613804953112,4.9199155883320635,4.253789643569114,3.8122205980180524,4.138284441540529,4.189042845175674
ABCA7,3.8082343983212072,3.3589746957229685,3.4878371778831005,3.2048019398115755,3.752392947319891,4.641134468924015,3.604554929180324,3.4155877109983623
ABCB10,4.635298486944273,4.6809712959090275,4.699466748802796,4.518093709101029,4.804717185047541,5.307766002491292,4.872516437339883,4.835045297031735
ABCB4,2.578507456458882,3.650023734579137,4.718524759926063,3.387025065452811,3.4822408599241155,2.1933443951371987,4.220389220356253,3.346559648538946
ABCB7,5.4826783386610956,5.193234532897584,5.2027759889731975,5.288713783875215,5.360816360989429,5.151516306454168,5.317963973013603,5.308113460406818
ABCB8,3.8082343983212072,3.8158534855662376,4.197871937701893,3.7233566693325266,4.034192366745053,3.0613033788306674,3.9155629511723262,3.703392942102248
ABCC1,5.164578242027745,5.137761795386073,5.111497268301622,5.041675277008023,4.491901994790993,5.446690968395699,5.0761462226211735,5.005214960334851
ABCC10,4.115900535612722,4.254182195128085,4.543624531508673,4.12870456837969,3.890379726565195,3.5945866040108987,4.464030044789603,3.7280945657058044
ABCC3,4.134640923877367,2.7891894506897588,2.35275851415179,4.912696110408356,3.6594261732352074,4.754039307764772,3.357528307160333,3.310172453292687
ABCC4,6.78594376730669,7.181912229610372,7.165431253113457,7.800548406345148,7.358868640504313,7.322759903885909,7.315908403693305,7.51097201562259
ABCC5,5.378582788774282,5.546696339583789,5.343589841334058,5.753702541967419,5.803510255452421,4.4942567534625315,5.343926150681669,5.478652079967842
ABCD3,4.856499510708017,4.95008118761556,4.598315283735933,4.898098885057701,5.0667806069937,4.606387616472843,4.970238682574658,4.68757363555272
ABCD4,4.528514343420625,4.1282839549530115,4.497610806281447,4.5072845193071736,4.624032491307807,4.261500051245944,4.166408411848652,4.525580029263894
ABCE1,4.635298486944273,5.08763455851319,4.764638859538963,4.289600086605859,4.773232678193549,4.356662820037254,4.552654642268641,4.659131717106831
ABCF1,3.713855920550091,3.9580555308577527,3.925669707876286,4.028645786556182,3.358590335358664,3.5945866040108987,3.8792734468911942,3.7280945657058044
ABCG1,4.88320045570707,3.650023734579137,3.966536817845212,5.028855802572925,4.695668280410188,5.831431438190549,5.0761462226211735,5.132788222362297
ABHD10,3.625203671262735,3.5751397757650367,3.6917579937775282,3.897653797842519,3.752392947319891,3.2496166194020017,3.984415155469174,3.843203072864828
ABHD12,6.267105864611165,6.232452528058527,6.123896371098649,6.375600835762109,6.177022381890205,6.268309333607155,6.319620899204385,6.253178644713837
ABHD13,4.695352168727553,3.9311869775824495,4.079981504960562,4.112708008185141,4.586193535732825,4.68293611801294,4.453679957157,4.589441544296588
ABHD16A,3.7952849587333324,4.254182195128085,4.132216407381084,4.096451392422438,4.217284465140364,4.183669966132818,4.109346568142998,3.7757393791546954
ABHD17A,4.047397022885583,4.6144755363415015,4.3315107158784665,4.159949898569763,4.235703623612609,3.792468790077502,3.7617638527754194,4.0219474281098835
ABHD17B,4.162109016397727,3.984221014259883,4.449377265659116,4.205060309378893,4.463243795517996,3.9743583000056955,4.41117389931549,4.409149632355012
ABHD18,5.508856317859593,5.619751794339631,5.421319251597538,5.583812053739911,5.44049769029388,5.2063573621744625,5.763362437371905,5.426462973221318
ABHD2,5.600803042617229,5.5628066248719,5.31800592180728,5.432136427586767,5.451379614887659,6.0826708974515045,5.402005231507861,5.503759553163322
ABHD3,6.701235593271012,5.9252387579538635,5.982377778548526,5.879778912142696,6.663141667662283,6.423387012629506,6.1945904976399095,6.408448923145744
ABHD5,4.016538153776877,3.5751397757650367,3.8830610526176295,3.699267693486862,3.6594261732352074,3.347638469048283,3.9505815145626335,4.075071149853276
