"","H20.33.020","H20.33.044","H21.33.003","H21.33.004","H21.33.005","H21.33.009","H21.33.023","H21.33.044"
"'de novo' posttranslational protein folding (GO:0051084)",0.128538342768893,0.559824029336046,0.25247874057061,-0.529836542767585,0.0621505192179795,0.310457332932837,-0.504150796935204,-0.227083590201426
"2-oxoglutarate metabolic process (GO:0006103)",0.29609081124157,0.570797623625193,0.431673533757609,-0.435690951611928,0.274628256999899,-0.325810262522147,0.256696233713527,-0.598049446984686
"3'-UTR-mediated mRNA destabilization (GO:0061158)",0.0998129076507814,-0.0291598579008561,0.0784366863388739,0.0179163127008959,-0.0716934556542067,0.13793989211402,0.0449630930410456,0.253800155746783
"3'-UTR-mediated mRNA stabilization (GO:0070935)",-0.023991954128907,0.199234381907855,0.434831080118223,-0.551399760413013,-0.460397302969585,0.442964169136043,0.484099845409365,-0.73743631026901
"3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427)",0.115442468662819,-0.0867469007398412,-0.305807915700801,0.422686957195345,-0.214500629102344,0.110330359230162,-0.11127495139353,-0.229328332521235
"7-methylguanosine RNA capping (GO:0009452)",-0.137184457009062,0.268217294827544,0.264961666177817,0.12381401189899,-0.354219334407432,0.014639916263981,0.0320475744098032,-0.221481133325969
"7-methylguanosine mRNA capping (GO:0006370)",-0.137184457009062,0.268217294827544,0.264961666177817,0.12381401189899,-0.354219334407432,0.014639916263981,0.0320475744098032,-0.221481133325969
"ATF6-mediated unfolded protein response (GO:0036500)",-0.648542902020169,0.540799741091817,0.424547363809233,-0.355281707680003,-0.287181253686053,0.411313005821761,-0.283871047043111,0.297762578654549
"ATP biosynthetic process (GO:0006754)",0.198227132579649,0.48210889416545,0.0539518126693666,-0.271588747455288,-0.0727807720846028,-0.00581319328955882,0.160334390715257,-0.210127538934415
"ATP generation from ADP (GO:0006757)",0.314487411512639,-0.247429253668055,-0.132842662356484,-0.370778141011085,-0.393594157277555,0.640137638354929,-0.425944672671959,0.122252442340374
"ATP metabolic process (GO:0046034)",-0.0270808426767411,0.449859380585397,-0.00995157455047793,-0.126109405896054,-0.0535063185702587,-0.118979209950453,0.0806881057591035,-0.193840081698271
"ATP-dependent chromatin remodeling (GO:0043044)",0.0108994507498753,0.0688271586460961,0.416363362149504,-0.128459995769739,-0.367421470883688,-0.062339769353282,0.063325779020421,-0.115135601727719
"Arp2/3 complex-mediated actin nucleation (GO:0034314)",0.258096739332948,0.265807958281767,-0.252687715063534,-0.465886110009384,0.426963800592466,-0.255665400671782,-0.240095329823054,-0.129825957027027
"B cell activation (GO:0042113)",-0.0657419183046044,0.159239356573613,0.115384717128857,-0.388562726055186,-0.0251817798934936,-0.147380216240327,-0.207259076554216,0.402183294001126
"B cell activation involved in immune response (GO:0002312)",0.0337056124441567,0.340387105226258,-0.427029266162334,0.156080058172688,-0.26226292608876,0.38220885667326,-0.124269102462369,-0.280589593885169
"B cell differentiation (GO:0030183)",0.192783695419273,0.0814949467859999,0.0578539282707668,-0.409766941389573,0.143665546326572,-0.143270776924526,-0.0935804213325306,0.350538323247759
"B cell homeostasis (GO:0001782)",0.0460136509768259,-0.136299939480908,0.486571618980443,-0.363540410737108,-0.14281095433413,-0.246909657631577,-0.376273211417267,0.359330834470576
"B cell mediated immunity (GO:0019724)",0.297519225776812,0.0416609309801071,-0.667150066394617,-0.672025613398433,-0.221979714982655,0.524974581966328,-0.448871060885243,0.551782013043853
"B cell proliferation (GO:0042100)",-0.244561713340657,0.293005675898946,0.476350270728689,-0.610385335311364,-0.358093074993714,0.353567477309324,-0.0606717900595571,0.451392298614626
"B cell receptor signaling pathway (GO:0050853)",-0.259331214377599,-0.153562458383127,0.161032857982667,-0.119632382056811,0.138308454847791,-0.241956299620439,-0.326317921321345,0.42193012440599
"BMP signaling pathway (GO:0030509)",0.0935676193250053,-0.266799385887003,-0.123476924834385,0.0657553168881952,0.170761852494296,0.000706630945044889,0.102268203457952,0.258592696225433
"C-terminal protein amino acid modification (GO:0018410)",-0.14733541124342,-0.297991369295543,-0.23306029850588,0.518819771452335,0.4199213036644,0.127749903512147,-0.26349488379831,0.172616961443584
"C-terminal protein lipidation (GO:0006501)",-0.135851642359575,-0.284801250660998,-0.308619946402942,0.564277548506205,0.460128599715066,0.127700617283925,-0.301982063859512,0.104566258290619
"C21-steroid hormone biosynthetic process (GO:0006700)",0.382114576561295,0.134224882775755,0.0476569296733664,-0.707088438571517,0.484499119580628,0.249760654797524,0.140684564435887,0.0763494614271756
"C21-steroid hormone metabolic process (GO:0008207)",0.214970702989738,-0.0842840229909868,0.0796198792859641,-0.512145426692992,0.57998296926974,-0.0958669385057233,0.0273748442985434,0.056976362931249
