,H20.33.020,H20.33.044,H21.33.003,H21.33.004,H21.33.005,H21.33.009,H21.33.023,H21.33.044
A2M,2.736790919750092,4.1185599252603815,2.807624106987902,3.750508450708927,3.4296496927919877,0.0,4.583271609654942,3.0161197572859297
AAAS,3.767710433757026,3.799374925812931,3.708468383440286,3.6492793037207107,3.824256634415386,2.8924667266221964,3.766398307715339,3.86259413920394
AACS,4.552221601850383,4.746863744334945,4.51045171522415,4.568222908259588,4.130756013919635,5.365844520670802,4.473923731377463,4.1602694238687645
AADAT,4.107786215957569,4.746863744334945,4.6354402764484615,4.704248708453373,4.286038560154933,3.557502822022471,4.766766174724481,4.624404609896598
AAGAB,4.507754866838559,5.294356397022411,5.092278024617727,5.0797547777507255,4.658999055174662,4.636925542854416,5.055912575237291,4.782586404774825
AAK1,6.8776733074396645,7.126993421341942,6.761917402704524,6.8484719005495425,6.91372256269829,6.879511852972109,6.856077568426564,6.9455980261405
AAMDC,5.00728715815051,5.14291247690505,5.1836397674835055,5.046444157579948,4.874558594452321,4.85812972771352,5.118481577280786,5.064091823313411
AAMP,3.7912577172287367,4.542716297581959,3.5963842328609363,3.708372761713287,4.002932443433965,3.2792791872746943,3.8416441573123232,3.6085388399683564
AAR2,3.901332048149361,4.238581187185377,3.8651725642064307,3.915000938590216,4.177636307849871,4.352467413075279,4.008184702633804,4.37724440516881
AARSD1,4.019185250664622,4.746863744334945,3.900791381458574,4.531114983869753,4.455713928850198,3.953419175445536,4.283579432828857,4.42485527713734
AASDH,5.020988845605319,5.4258529009459915,4.931154988708406,5.2376897874275565,5.273655159853694,4.550794454251385,5.35449698535831,5.312634975823368
AASDHPPT,5.142567639435336,5.288719180921599,5.198086986520582,4.939287705462751,5.116527751751971,5.092882432777784,5.154876148950706,5.561255798414125
AASS,6.4968599713737385,6.38773466371117,6.616759793173826,6.373505019058523,6.208132678743333,6.487612988780068,6.297399329799086,6.409554549846259
AATF,5.154546003424658,5.136350471954442,5.133916872698272,5.153418262958827,5.0613005167088,5.238648243222878,5.138497174175497,5.129385174517094
AATK,5.377725624896385,5.0102151155436285,4.618513102111085,5.186676060047545,5.116527751751971,4.922182818988446,4.954043877616853,4.822422694831993
ABAT,6.611359481537541,6.38773466371117,6.609792386515113,6.567947135661017,6.695639023460391,6.348727351279293,6.588502184699974,6.350329668291619
ABCA1,5.8625559963829454,5.935903441417686,6.085794998200266,6.261657792183654,6.04526163071429,5.906210541603354,6.294284955841966,6.150235159135585
ABCA10,4.4371121015958614,4.301206318630286,4.200836210559805,4.887709744118719,4.827859134656953,4.85812972771352,4.530091546290246,4.113771255121156
ABCA2,4.87471088425219,4.916317749154138,4.818941617033591,4.755883982856321,5.098455459811844,5.092882432777784,4.671348810606617,5.051748295790542
ABCA3,5.410520101838481,5.630197244154586,5.431546407247233,5.408700874079201,5.361514587767796,4.550794454251385,5.262580997400087,5.206758875148509
ABCA5,5.610377864213187,6.215493359990338,5.928410438440885,6.037315892257233,6.133254337086288,5.700980575943111,5.7777426231387246,5.7873571035799145
ABCB10,4.818001622585005,4.924488196834956,4.949713443127272,5.173505371301451,5.012827167966594,4.550794454251385,5.151621745376881,5.020205967722901
ABCB6,3.5562314887945283,4.56627645717072,4.174572828606051,3.982663557020793,4.029837727993975,4.104824808363076,3.9448565382280485,4.0977786657812825
ABCB7,5.410520101838481,5.768791776408981,5.336295293861674,5.515446541972599,5.347397004692978,5.365844520670802,5.4484087806759485,5.5575178996165135
ABCB8,4.235002729461037,4.924488196834956,4.399959770209332,4.518433236271729,4.345853482240504,4.352467413075279,4.473923731377463,4.274630174935957
ABCB9,3.5852445052013002,4.188896333577508,2.9531162376664706,3.5701354645617807,3.824256634415386,4.104824808363076,3.641714775624545,3.4051197405261577
ABCC1,4.818001622585005,4.686781404939641,4.519916460824348,4.671937300433226,4.056038044180289,5.729058596207304,4.492999028642569,4.481348139304215
ABCC10,3.8587449757933534,4.655329962505124,3.665130320574582,4.313797014747903,3.4296496927919877,3.557502822022471,3.987517736685607,3.7085464312774783
ABCC4,4.3208067303090365,4.874433123162078,4.846499914761453,5.160158897731141,4.753447414395377,4.922182818988446,5.000604289667247,5.00730508437344
ABCC5,6.146587610841132,6.2310356552462896,6.21830353619843,6.090374470872656,6.252235469005039,6.076408911089416,6.079367258227334,6.003314653600035
ABCC8,6.316704041281429,6.5744751458123725,6.491157749229122,6.1994765636090845,6.205122166734844,6.076408911089416,6.300504034536837,6.114406427550478
ABCD3,5.6582744982752695,5.965069125747708,5.893249690234607,5.943640387372128,5.7931075681507505,5.192380930243531,5.961870384739654,5.839538272707891
ABCD4,4.826302512289036,5.38562484348703,5.00340767700327,4.750838794724057,4.982573673450704,4.789691344824355,4.866951702900283,4.912014571945206
ABCE1,4.882555925715111,5.068247396527882,5.108096464569384,4.865408206958913,5.160329224978441,5.238648243222878,4.858247527670725,5.3362733527430395
ABCF1,4.055572941605199,4.481266620567587,3.7500060157225024,4.273858502152544,3.9468476887796,3.2792791872746943,3.9556936705559957,3.9219819130846676
ABCG1,5.368154786590542,5.168738191730358,5.651538348037789,5.982760231382029,5.5865213234235815,4.104824808363076,5.9776917646115875,5.268624612074859
ABCG2,3.5852445052013002,4.254608970523824,3.918136055259015,4.197685411335549,3.9175798724089352,3.2792791872746943,3.888835946982896,3.941019122372092
ABHD10,4.019185250664622,4.468510205799641,3.8651725642064307,4.197685411335549,3.9175798724089352,2.8924667266221964,4.454477479612546,4.37724440516881
ABHD12,5.999392440484069,6.020966300301581,6.067925184433533,6.224119650748891,6.076604554337354,5.513619695627856,6.023707261892941,5.949118242591137
ABHD12B,3.397013024578352,4.002808315436779,3.6427359934385395,4.1152279960297315,3.6065569037435883,2.2532766151707015,4.306608441499704,3.190242638805249
ABHD13,4.4730571545866615,4.554565760911614,4.389282299916347,4.305935900479484,4.52277479076565,4.716222785392043,4.542156147947687,4.555432340426933
ABHD14A,3.2075531442085534,3.693716332642615,3.5477791165626122,3.466071889789433,4.029837727993975,2.2532766151707015,3.8294898299908784,3.267114024513703
ABHD16A,3.981423333403423,4.77560328269553,4.047022522804789,4.223726496063445,4.383830570149221,3.2792791872746943,4.583271609654942,4.288047739105741
ABHD17A,4.019185250664622,4.665924068050591,4.031791335355358,4.056219098746301,4.15447085597624,4.716222785392043,4.243978526539327,4.314354560170307
ABHD17B,6.034574626071384,5.299962012971525,5.356901321559805,5.536416111614447,5.651525098736423,4.716222785392043,5.59045078706385,5.4756104616750525
ABHD17C,3.981423333403423,4.188896333577508,4.238981584510707,4.59812781823467,3.721319253996541,2.8924667266221964,4.414412361667661,3.7085464312774783
ABHD18,5.459975113439119,5.846169101352845,5.555971731766218,5.5478786302146945,5.22665022059301,5.192380930243531,5.408875620559725,5.331590167941104
ABHD2,7.66363319686212,8.391321289861207,8.390463049754816,8.135278965776136,7.6313066106903635,7.81601080462445,7.8760812473722135,7.89496265706225
ABHD3,5.267043173267316,4.622857115257573,5.108096464569384,4.562133092381685,5.4614847835073235,5.039156280857075,4.799745063636304,5.0392504993906355
ABHD5,4.173416115159564,4.542716297581959,4.491249164826354,4.505588593950626,4.265277859692706,3.2792791872746943,4.660754157679986,4.327252923018602
ABHD6,5.811412373174103,5.740410308487327,6.055832067080965,5.84536576785127,5.635665986596744,5.929138183274991,5.920430622146977,5.805055099052958
ABHD8,3.767710433757026,4.188896333577508,3.968434949798035,3.618369281594406,4.029837727993975,4.236292459436568,3.987517736685607,3.4368379298673695
ABI1,6.272926687745499,6.411926705919314,6.453728031785633,6.554709679399659,6.563601801120796,6.879511852972109,6.578379665390386,6.658548226203045
ABI2,6.44907787724062,6.662671826275608,6.632830738910003,6.6246621294660155,6.684500356366349,6.378090540373114,6.626507140785765,6.611377504202854
