"","H20.33.020","H20.33.044","H21.33.003","H21.33.004","H21.33.005","H21.33.009","H21.33.023","H21.33.044"
"'de novo' posttranslational protein folding (GO:0051084)",0.238765578962243,0.0356938704158204,-0.365868079213443,-0.524823379524403,0.175944258631535,0.410750737772031,-0.475337538452528,0.382607712772841
"2-oxoglutarate metabolic process (GO:0006103)",-0.470493841798849,-0.0603338870408302,0.174976486335306,0.153287306740041,-0.296293055370693,-0.0600930849489897,0.447438659398091,-0.361467158302642
"3'-UTR-mediated mRNA destabilization (GO:0061158)",0.422548725457509,0.12241286250675,0.00336597864740845,-0.35729480521373,0.0453223691475989,0.301738556323184,-0.520432688113783,-0.261523310453318
"3'-UTR-mediated mRNA stabilization (GO:0070935)",0.01699786546715,0.146548974732661,0.703971170852224,0.192225459736764,-0.50264387968392,-0.16678566948227,-0.057114496070709,-0.240887879209387
"3'-phosphoadenosine 5'-phosphosulfate biosynthetic process (GO:0050428)",0.563801807540087,-0.545733463082381,-0.129819053329049,0.558215469902587,-0.421483714485376,-0.387311574871783,0.529023722667009,0.303292798655928
"3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427)",0.110135341959245,-0.384561640515026,-0.0620320321772296,0.415818747782066,-0.193016161748823,-0.0487852022606634,0.316154843359363,0.217932046593357
"4-hydroxyproline metabolic process (GO:0019471)",-0.440982543099448,0.233874453485004,-0.481199489799647,-0.141890835406459,0.508393575018242,0.740522390362936,-0.58934160536679,-0.525615387259902
"5S class rRNA transcription from RNA polymerase III type 1 promoter (GO:0042791)",-0.419361130663651,0.549771099984919,-0.435252375123856,0.457926710422507,-0.169339148948481,-0.26007083561548,-0.0381790319171837,0.157997609770953
"7-methylguanosine RNA capping (GO:0009452)",-0.134955120110722,0.477472900998181,-0.274594002148765,-0.0472698380227153,-0.0657031255725631,-0.253052775467557,0.120967851545861,0.0291460481652927
"7-methylguanosine mRNA capping (GO:0006370)",-0.134955120110722,0.477472900998181,-0.274594002148765,-0.0472698380227153,-0.0657031255725631,-0.253052775467557,0.120967851545861,0.0291460481652927
"ATF6-mediated unfolded protein response (GO:0036500)",-0.097754569190546,0.255730712249052,0.116496657079253,-0.659573507408503,0.195891188226087,-0.0989120439454771,-0.481103105144539,0.62917594299168
"ATP biosynthetic process (GO:0006754)",0.134877136286574,-0.492051735191933,-0.487451936988937,0.551017148116746,-0.176415291414294,0.142115659945083,0.164215406009714,-0.343139900949599
"ATP generation from ADP (GO:0006757)",-0.289043376334893,-0.225508710700727,-0.48633955784994,-0.497010179708643,-0.187574830685171,0.710497913214844,0.0151315960308171,0.00728187402211755
"ATP metabolic process (GO:0046034)",-0.0397053974662935,-0.0699796665185861,-0.303821636640033,0.0692619884430496,-0.138901571355436,-0.161013334269011,0.0797402204465631,0.294507585971131
"ATP synthesis coupled electron transport (GO:0042773)",-0.431848285653681,0.672429617834663,-0.157706610648909,-0.146731372902171,0.247561650998601,-0.298014964888294,-0.0506013345377417,0.336855517094143
"ATP synthesis coupled proton transport (GO:0015986)",-0.681876600301465,0.363479440374222,-0.595371850249642,0.425174134016228,-0.0473008248928875,0.428113013634136,0.23170625311286,0.0471670990141215
"ATP-dependent chromatin remodeling (GO:0043044)",0.381855539733617,0.0124333066488791,0.199509820349943,-0.0127433783013937,-0.239652996734187,-0.162735540083595,-0.321857711767378,0.0841354548115799
"Arp2/3 complex-mediated actin nucleation (GO:0034314)",-0.158402419228099,0.205779305780856,-0.253069421941695,0.103267442170891,-0.441091930681583,0.021100430542974,-0.439312387833314,0.560453791479883
"B cell activation (GO:0042113)",0.0702297038800355,-0.128018821057559,-0.0202165384920633,-0.322393346159391,-0.0729781464263674,0.456692098617088,-0.181030933271463,-0.0595366744736741
"B cell activation involved in immune response (GO:0002312)",0.0943354453720397,-0.236475348510452,0.50887053704947,-0.127107065824564,0.0962882987097883,-0.0764272026519277,-0.149820125877768,0.0705220513441473
"B cell differentiation (GO:0030183)",0.237363686988238,-0.23939420038219,0.132721548346247,-0.296884862837971,-0.275380662813227,0.442468034042131,-0.413307704035949,0.0917342515451394
"B cell homeostasis (GO:0001782)",0.357888680640363,-0.686018586196192,-0.49883454398754,-0.208814719898131,0.524264999919758,0.478737583143524,0.544324945181197,0.136753851689612
"B cell receptor signaling pathway (GO:0050853)",0.585585402208098,-0.44054713745215,-0.00914711078141822,-0.430030651078539,-0.402947116775739,0.375278996517979,-0.0169989158900547,0.00425328160087446
"BMP signaling pathway (GO:0030509)",0.0806968600338496,-0.188078842743982,0.258486157522149,-0.171196427347127,0.0609964234794042,-0.0738668117571067,0.104501000852404,0.12850410477967
"C-terminal protein amino acid modification (GO:0018410)",0.247169304772802,-0.286014145485566,-0.0807837490458238,0.287221353618978,0.00484023509454171,-0.160077369896643,0.199806970803466,-0.031160732508078
"C-terminal protein lipidation (GO:0006501)",0.311132423629779,-0.2256308596424,-0.153787591246627,0.194492846851294,-0.0482706493353909,-0.194156170946313,0.273188592516991,-0.048292691290629
"C21-steroid hormone biosynthetic process (GO:0006700)",-0.171696952489645,0.066334693152601,0.0925133131461161,-0.182636884295509,0.374337158646929,-0.60572373696495,0.0374856426856381,0.435017738987744
"C21-steroid hormone metabolic process (GO:0008207)",-0.14042734929206,-0.351832212572881,0.185920200543115,0.0838340354923394,0.489698624424692,-0.583079318392419,0.0374973887611922,0.323054759407031
"CENP-A containing chromatin organization (GO:0061641)",-0.148383058199543,-0.0703239289445918,-0.627162298201494,-0.198733307934867,0.115230162948069,0.105487815841194,-0.458502206874648,0.512772381000269
"CENP-A containing nucleosome assembly (GO:0034080)",-0.148383058199543,-0.0703239289445918,-0.627162298201494,-0.198733307934867,0.115230162948069,0.105487815841194,-0.458502206874648,0.512772381000269
"COPI coating of Golgi vesicle (GO:0048205)",-0.280162772522602,0.525764228794447,0.480747678237215,-0.141277939603862,-0.706618948419655,0.0157358269805762,-0.155120746979318,0.109602472497712
"COPI-coated vesicle budding (GO:0035964)",-0.280162772522602,0.525764228794447,0.480747678237215,-0.141277939603862,-0.706618948419655,0.0157358269805762,-0.155120746979318,0.109602472497712
"COPII vesicle coating (GO:0048208)",-0.144103849067798,0.148997127649051,-0.018417454082732,0.177238961974887,-0.266935001541723,0.122789687822331,-0.113174968515898,0.0593225743516874
"COPII-coated vesicle budding (GO:0090114)",-0.153945610249628,0.111751523456928,-0.0149809687073075,0.197796363269867,-0.254211076088293,0.169065571426291,-0.123268539613216,0.012515152678318
"Cdc42 protein signal transduction (GO:0032488)",0.195912508190555,0.180180856423831,-0.234931667680845,-0.0583098744242856,0.124359404405083,0.425636585240929,0.171640844030132,-0.0442113767893406
"DNA alkylation (GO:0006305)",0.484998435947805,0.238445915847138,0.132131401356851,0.0116733650677072,-0.509850293811552,0.111038993160542,-0.259841753751437,-0.11114006713108
"DNA biosynthetic process (GO:0071897)",-0.0649049476344951,0.0767729520565051,-0.0687596128074208,0.376900996707737,0.0108180755089637,-0.15859875415636,-0.265005135891778,0.0553592127792089
"DNA catabolic process (GO:0006308)",-0.0844851577060845,0.130693019206003,0.317041669833517,-0.153026000376278,-0.147438862676264,-0.117373329006495,0.412246774475958,-0.0935571854283685
"DNA catabolic process, endonucleolytic (GO:0000737)",-0.0285842091410586,0.373749681154632,0.212069236636194,-0.2557124458856,-0.122862013969066,0.166770792802473,0.0351944224479315,-0.325243793828578
