,H20.33.020,H20.33.044,H21.33.003,H21.33.004,H21.33.005,H21.33.009,H21.33.023,H21.33.044
AACS,5.305425881475459,5.476853778235077,5.333736751770864,5.485644807614712,5.550949101571372,5.668634243907375,5.361193975344965,4.403722166748133
AADAT,5.053308522149466,5.3074476080870605,5.073751890765424,5.291964716713515,4.99424190662683,4.618328813647832,5.285578680999407,5.090734705542857
AAGAB,5.1606955810016215,5.935244634518463,5.543680706078607,5.9468387127546,5.230137336751348,4.559840455426686,5.81411953697412,5.599095896199653
AAK1,7.434959223497313,7.584078074129838,7.421187847076659,7.422600685980984,7.5179905545388515,7.200857302096925,7.573018967959747,7.699974916672691
AAMDC,6.485426776492696,6.361245306654247,6.205995827224099,6.212235218033682,6.237047386569936,6.298470113641527,6.279520600261332,6.185236225086974
AASDH,5.9777365230987884,5.977593900073675,5.754605269103003,5.6551665950272785,5.847782679942329,5.38869767827444,5.938749776295,5.4941465413903865
AASDHPPT,6.3100743267447665,6.2812157324913285,6.211837728287993,6.090682763000789,6.448471419717176,6.166065025949715,6.066484907507529,6.128198957729813
AASS,7.099954328834821,7.490665284550151,7.174008615716315,7.206033957746655,7.024437475129397,6.923390644727842,7.007925754156015,7.2253565190568105
AATF,6.749764498105278,6.253632551751776,6.335850557860597,6.2692046946402105,6.921501819384577,6.223106795144078,6.768030153191918,6.695237663320381
AATK,8.093643535962064,8.447977954401374,8.0441324591392,8.510073612143957,8.082843503895992,7.910365859052169,8.441071809395194,8.011633237308686
ABAT,6.352795392950242,5.901019866659158,6.38111982921306,5.977310499783205,6.189889124074821,6.15913518402069,6.277580611542061,6.429910840470268
ABCA1,6.113594185201547,5.270763141598229,6.47642510264317,6.042242161226857,5.7016348322371,5.8235082223628085,6.2833893234069444,6.904724180023205
ABCA10,4.75210491516749,4.795421834067437,4.865692367893182,5.366213747025433,5.142338711279772,4.80978474624781,4.996092011700534,5.599095896199653
ABCA2,8.424546468676985,8.5988370606788,8.503039325985796,8.422634224792764,8.65756724877312,8.428321115960097,8.455253404682392,8.902410593290902
ABCA3,6.171912167973556,6.248374919855364,6.1802789730722925,6.299079518450482,6.26231630282904,5.72654695215354,6.233920031916358,5.780800394572063
ABCA5,6.4579817063247305,6.75877844885331,6.5173047425412065,6.749813818626611,6.846476441495094,6.2392827226339005,6.806520347059387,6.552327076641276
ABCA6,7.024849199718896,6.162177959365162,6.2137774692202,5.055983443721206,7.630803928859894,7.268449949616014,6.961003269832655,6.185236225086974
ABCA8,8.657084327055035,8.475071028551104,8.49969519187693,8.668254456684208,8.78468809213279,8.482717361460836,8.396579136358005,8.842023353660647
ABCA9,5.472114769402399,4.394081960753143,3.818454756380203,4.1535882110795495,5.638483731801027,6.214919638604212,5.4360067089525215,4.688341622538625
ABCB10,6.120499368729233,6.094839176415155,6.1288836786795775,6.040586357018404,6.058181880766751,5.861679333756125,6.076032269598834,5.780800394572063
ABCB7,6.22907567112233,6.30805845974863,6.076927643953588,6.08277053154697,6.252285227637484,5.845158460494402,6.092523910618649,6.339092630910963
ABCB8,5.331008225590219,5.644433754217589,5.528415152323701,5.584507954070446,5.571074130483962,5.093747082665806,5.668149654428868,4.688341622538625
ABCB9,5.603473471275737,5.546581103485386,5.333736751770864,5.630500556040029,5.244049231655227,5.1186591836478375,5.426955525014393,5.4941465413903865
ABCC10,4.606863697409939,5.146596174245199,4.79618399096393,5.09938620100386,4.820334672274851,4.782612124599577,4.974884869315136,5.244005927729526
