"","H20.33.020","H20.33.044","H21.33.003","H21.33.004","H21.33.005","H21.33.009","H21.33.023","H21.33.044"
"'de novo' posttranslational protein folding (GO:0051084)",0.172351745812623,-0.233101898247492,-0.095612436280875,-0.448805646058316,0.187508478647517,0.351576216537827,-0.330264003753042,0.0526107072042454
"2-oxoglutarate metabolic process (GO:0006103)",-0.272202139869581,0.183251266944161,0.521495815045516,0.236447199371355,-0.361680680951136,-0.227894628746164,-0.02865916452997,0.0713218606013292
"3'-UTR-mediated mRNA destabilization (GO:0061158)",0.166306071836264,-0.370194135422312,0.0645528258795137,-0.00331295533896625,0.0988800165186922,0.506010663902102,-0.631642110402065,-0.304872484716131
"3'-UTR-mediated mRNA stabilization (GO:0070935)",-0.296575341594669,0.30616537993411,0.753470428247987,0.452275881482067,-0.0867753602242022,-0.361501833113643,0.263002934897351,-0.532581589458393
"4-hydroxyproline metabolic process (GO:0019471)",0.431295764287795,0.156886132283921,0.0699901653012176,-0.453756143423176,0.0891719151545597,-0.170717139557349,-0.609609904696689,0.40285621579924
"7-methylguanosine RNA capping (GO:0009452)",-0.0150579964073509,0.528139773695132,-0.229118954017982,-0.0270570156923957,-0.408493368341931,-0.249566435530049,-0.060224707383123,0.116803480122061
"7-methylguanosine mRNA capping (GO:0006370)",-0.0150579964073509,0.528139773695132,-0.229118954017982,-0.0270570156923957,-0.408493368341931,-0.249566435530049,-0.060224707383123,0.116803480122061
"ATF6-mediated unfolded protein response (GO:0036500)",0.56877129664253,-0.0577584578273457,-0.322311252091319,-0.655355925150702,0.286509991786343,0.500412262992703,-0.406757271010353,-0.019054330453227
"ATP biosynthetic process (GO:0006754)",0.217056905688985,-0.0275925369026411,-0.221887998543344,-0.0112696095275584,-0.24960970549629,0.534204978420728,-0.209756428912423,-0.208431922558178
"ATP generation from ADP (GO:0006757)",-0.423015110176392,0.362129481383112,-0.295720604434187,-0.0529093547961627,-0.315299459725967,0.434013683398073,-0.13938098636082,0.14413797159874
"ATP metabolic process (GO:0046034)",-0.00449577195766657,0.119390476288646,-0.078022839042582,-0.193963678480922,-0.0769153464995811,-0.154145949394943,0.0360881713753714,0.180171467588363
"ATP synthesis coupled electron transport (GO:0042773)",0.098033745446285,0.404886495906287,0.141142329508004,-0.396069669788605,0.311479281466544,-0.553556879815746,0.338686808878666,-0.303178936034681
"ATP-dependent chromatin remodeling (GO:0043044)",0.0303826720806671,-0.0868511385548297,0.0530552006641074,0.0874233467834666,-0.00231226331666168,-0.193562834039155,0.101986316395694,0.0790136397567619
"Arp2/3 complex-mediated actin nucleation (GO:0034314)",-0.0709619775364583,0.427028080700609,-0.0924297842961437,-0.234789447249908,0.00599135399555306,-0.222866947891578,-0.0576310609587501,0.00928004925372411
"B cell activation (GO:0042113)",0.0817047247651763,-0.444832284972129,0.10988439790935,0.0120968770231166,-0.0496279451358135,0.445491822972056,-0.0898689260815514,0.000138306668949761
"B cell activation involved in immune response (GO:0002312)",-0.128064939486516,0.309212531123424,0.552707540892464,0.130343007915577,0.0972899142501726,0.122427440633254,0.312267235001189,-0.610599488015482
"B cell differentiation (GO:0030183)",0.284198864926554,-0.374111443996133,0.30090964881973,-0.0205912552906059,-0.212861260752364,0.38817862033683,-0.248761239118823,0.059067236540843
"B cell receptor signaling pathway (GO:0050853)",-0.255681356395581,-0.743832972305738,0.227278723123608,-0.104344098231835,0.326164551778037,0.72346405472815,0.0404959767840703,0.113309589763916
"BMP signaling pathway (GO:0030509)",-0.00135479379196388,0.00146579817269704,0.0718759556511187,-0.332034271302316,0.10148726596648,0.054614494911445,0.171959826790974,0.0855873674483996
"C-terminal protein amino acid modification (GO:0018410)",0.041562223403637,-0.2340309118914,-0.533123375864945,0.0466207925193638,0.146897655670414,0.51573070659076,-0.140951832568986,0.107326100478407
