p_val,avg_log2FC,pct.1,pct.2,p_val_adj,module,group
2.61678268504074e-154,-1.56220258577391,0.218,0.554,2.87846095354481e-153,AST-M7,Astrocyte
2.6707792109559e-70,-1.02014753662486,0.304,0.528,2.93785713205149e-69,AST-M10,Astrocyte
1.57253450987285e-67,-0.899045507757424,0.305,0.529,1.72978796086013e-66,AST-M4,Astrocyte
1.73476387458119e-39,-0.679068688533446,0.304,0.471,1.90824026203931e-38,AST-M2,Astrocyte
2.45192513762184e-30,-0.623810259948508,0.299,0.439,2.69711765138403e-29,AST-M1,Astrocyte
2.08416053716828e-26,-0.592450011629549,0.307,0.438,2.29257659088511e-25,AST-M8,Astrocyte
1.27495788051563e-19,-0.665064084680589,0.284,0.386,1.4024536685672e-18,AST-M11,Astrocyte
3.57768730309142e-18,-0.42734859202528,0.355,0.465,3.93545603340057e-17,AST-M3,Astrocyte
2.60983462557754e-17,-0.319805981756711,0.3,0.41,2.87081808813529e-16,AST-M9,Astrocyte
1.42932142793044e-15,-0.417001864212263,0.343,0.432,1.57225357072348e-14,AST-M6,Astrocyte
4.04490884532553e-05,-0.177687956617323,0.361,0.41,0.000444939972985809,AST-M5,Astrocyte
