p_val,avg_log2FC,pct.1,pct.2,p_val_adj,module,group
0,-0.944819427509084,0.253,0.424,0,EXC-M8,Excitatory
0,-1.00479161907189,0.227,0.421,0,EXC-M7,Excitatory
0,-1.95721702934374,0.158,0.477,0,EXC-M6,Excitatory
0,-1.92190571131491,0.148,0.48,0,EXC-M3,Excitatory
0,-1.13238843667204,0.234,0.459,0,EXC-M4,Excitatory
0,-1.05929650097378,0.22,0.425,0,EXC-M5,Excitatory
0,-2.38774669884796,0.128,0.416,0,EXC-M10,Excitatory
0,-1.99253908434333,0.147,0.516,0,EXC-M1,Excitatory
0,-1.1150956288998,0.238,0.464,0,EXC-M2,Excitatory
1.27977064791687e-19,-0.208559924736249,0.276,0.318,1.27977064791687e-18,EXC-M9,Excitatory
