p_val,avg_log2FC,pct.1,pct.2,p_val_adj,module,group
1.97050188897877e-10,-0.602521386578617,0.333,0.451,2.16755207787665e-09,OPC-M8,OPC
1.93439586773086e-09,-0.627500961828308,0.381,0.478,2.12783545450395e-08,OPC-M10,OPC
1.39654779125535e-08,-0.405807147345536,0.389,0.503,1.53620257038088e-07,OPC-M5,OPC
1.16120262036024e-05,-0.412130341338371,0.386,0.462,0.000127732288239627,OPC-M2,OPC
2.0708370331035e-05,-0.526700286594731,0.372,0.44,0.000227792073641385,OPC-M11,OPC
0.000699198108470649,-0.293755768324906,0.362,0.428,0.00769117919317714,OPC-M6,OPC
0.000860295921535037,-0.308837116414012,0.39,0.451,0.0094632551368854,OPC-M7,OPC
0.0346018384020198,0.0285555595666447,0.343,0.378,0.380620222422218,OPC-M1,OPC
0.042448617269321,0.366301227273843,0.469,0.443,0.466934789962531,OPC-M3,OPC
0.261713153141006,0.110342185476405,0.435,0.402,1,OPC-M4,OPC
0.27902255725744,-0.0762337408774656,0.409,0.425,1,OPC-M9,OPC
