pathway,score_adj,celltype,logFC,P.Value,names,shortened,highlight
3'-UTR-mediated mRNA destabilization (GO:0061158),1.3778380343912526,Excitatory,0.6167172589083374,0.041894977894836864,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),0.8815596348213107,Oligodendrocyte,0.43915460196790246,0.13135311160352448,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),0.04538072173366369,Microglia,0.027823049836112557,0.9007811268374122,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),1.5789323742372847,Inhibitory,0.7330233472090366,0.02636741931686644,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),1.0662842358835858,OPC,0.4702441115432061,0.085845150058296,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),0.7242152226965786,Astrocyte,0.416326292368909,0.188705595171385,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),-0.7801246681783222,Endothelial,-0.40893815878747947,0.16591105763026978,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),-0.027254336329259634,Oligodendrocyte,-0.019360112512858463,0.9391731405386676,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),1.5412170258543503,Microglia,0.8084029141228655,0.028759608789826845,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),0.7576755126447379,Astrocyte,0.3445502921680631,0.17471270483807236,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),-0.019089573757669696,Inhibitory,-0.012996151342037063,0.9569966692277425,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),1.1277061256544183,Excitatory,0.4383806750698229,0.07452360827412642,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),0.564412933654926,OPC,0.2968719774390935,0.27263842633036484,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),0.1694064214958492,Endothelial,0.11794178969982134,0.6770076537151519,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
4-hydroxyproline metabolic process (GO:0019471),-0.1525704315880547,Oligodendrocyte,-0.11572475311167685,0.7037680852856751,4-hydroxyproline metabolic process (GO:0019471),None,None
4-hydroxyproline metabolic process (GO:0019471),-0.48581817967643137,Astrocyte,-0.23013924483662648,0.32672458900326995,4-hydroxyproline metabolic process (GO:0019471),None,None
4-hydroxyproline metabolic process (GO:0019471),-1.3025882047285207,Inhibitory,-0.5201227037002666,0.04982092599452881,4-hydroxyproline metabolic process (GO:0019471),None,None
4-hydroxyproline metabolic process (GO:0019471),0.32511272857579604,Excitatory,0.15409316306162668,0.47302846038119195,4-hydroxyproline metabolic process (GO:0019471),None,None
4-hydroxyproline metabolic process (GO:0019471),0.1581550892741822,OPC,0.158380829752574,0.6947761643716869,4-hydroxyproline metabolic process (GO:0019471),None,None
5S class rRNA transcription from RNA polymerase III type 1 promoter (GO:0042791),-0.3020827451443846,Excitatory,-0.18515600248324926,0.4987894451824846,5S class rRNA transcription from RNA polymerase III type 1 promoter (GO:0042791),None,None
5S class rRNA transcription from RNA polymerase III type 1 promoter (GO:0042791),-1.0180603893105242,Inhibitory,-0.49436992609966424,0.09592672346686262,5S class rRNA transcription from RNA polymerase III type 1 promoter (GO:0042791),None,None
5S class rRNA transcription from RNA polymerase III type 1 promoter (GO:0042791),-0.5441465446504605,OPC,-0.3340452135508015,0.2856626464897001,5S class rRNA transcription from RNA polymerase III type 1 promoter (GO:0042791),None,None
5S class rRNA transcription from RNA polymerase III type 1 promoter (GO:0042791),-1.5059756837237313,Astrocyte,-0.562417449321713,0.03119064216531428,5S class rRNA transcription from RNA polymerase III type 1 promoter (GO:0042791),None,None
ATP biosynthetic process (GO:0006754),1.7495620249190766,Oligodendrocyte,0.6046517560820905,0.017800736647540335,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),0.20623868890556576,Astrocyte,0.1356225854489937,0.6219583619585003,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),-0.03630176302657064,Inhibitory,-0.023307177758464498,0.9198102332752038,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),0.6495216303015853,OPC,0.398273994297775,0.22411884192462217,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),0.0674812556262939,Excitatory,0.04238943223516741,0.8560886601505951,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),0.4214042126684905,Microglia,0.237661125154554,0.37896210783871187,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),0.3055429657940241,Endothelial,0.1671142312676538,0.49483115366653896,ATP biosynthetic process (GO:0006754),None,None
ATP generation from ADP (GO:0006757),0.47592204887770795,OPC,0.30087374677150225,0.33425502977404853,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),1.9028282330491573,Endothelial,0.6809461706356825,0.012507536154916222,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),0.38624239853806197,Inhibitory,0.25053245305039445,0.41092030468828045,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),0.11443853150731219,Oligodendrocyte,0.09108003067445401,0.7683541980975571,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),0.5506533892505995,Excitatory,0.3311446760893045,0.2814145906324753,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-0.2387677476892835,Astrocyte,-0.1568837971570609,0.5770749894597065,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),1.5477059673488283,Microglia,0.6129833824023745,0.028333095969124297,ATP generation from ADP (GO:0006757),ATP generation,no
ATP synthesis coupled electron transport (GO:0042773),-0.8125890568425495,Excitatory,-0.4347977244222524,0.15396107796254196,ATP synthesis coupled electron transport (GO:0042773),None,None
ATP synthesis coupled electron transport (GO:0042773),-1.499610485370134,OPC,-0.6571402093173595,0.03165115149482374,ATP synthesis coupled electron transport (GO:0042773),None,None
ATP synthesis coupled electron transport (GO:0042773),-0.3279448764579469,Oligodendrocyte,-0.23191173990066208,0.4699537544737369,ATP synthesis coupled electron transport (GO:0042773),None,None
ATP synthesis coupled electron transport (GO:0042773),-1.0087373231085655,Inhibitory,-0.4830115212500948,0.0980082595307972,ATP synthesis coupled electron transport (GO:0042773),None,None
ATP synthesis coupled electron transport (GO:0042773),-1.462591562872521,Astrocyte,-0.7199940738582101,0.03446739308575017,ATP synthesis coupled electron transport (GO:0042773),None,None
ATP synthesis coupled electron transport (GO:0042773),-1.3009129510951138,Endothelial,-0.6948179410906001,0.05001347706996233,ATP synthesis coupled electron transport (GO:0042773),None,None
B cell receptor signaling pathway (GO:0050853),0.07085887098135646,Endothelial,0.05181418016894264,0.849456470902128,B cell receptor signaling pathway (GO:0050853),None,None
B cell receptor signaling pathway (GO:0050853),-1.3677901985635745,Microglia,-0.5307630466259095,0.0428755596055872,B cell receptor signaling pathway (GO:0050853),None,None
B cell receptor signaling pathway (GO:0050853),0.014559464763976907,Oligodendrocyte,0.014154278395308056,0.9670313090671374,B cell receptor signaling pathway (GO:0050853),None,None
B cell receptor signaling pathway (GO:0050853),1.2986821472960126,Inhibitory,0.7024692273506435,0.050271038004595994,B cell receptor signaling pathway (GO:0050853),None,None
B cell receptor signaling pathway (GO:0050853),0.572584744964508,Astrocyte,0.2885270807090828,0.26755634528936995,B cell receptor signaling pathway (GO:0050853),None,None
B cell receptor signaling pathway (GO:0050853),1.7969690015485156,OPC,0.6797791169504709,0.015959930596853498,B cell receptor signaling pathway (GO:0050853),None,None
BMP signaling pathway (GO:0030509),0.27380056275587944,Endothelial,0.1456699067663712,0.532352670788791,BMP signaling pathway (GO:0030509),None,None
BMP signaling pathway (GO:0030509),1.4545893321068655,Astrocyte,0.5843102049372555,0.03510837010047508,BMP signaling pathway (GO:0030509),None,None
BMP signaling pathway (GO:0030509),0.02503250120012876,Inhibitory,0.0174719378625319,0.943990228454398,BMP signaling pathway (GO:0030509),None,None
BMP signaling pathway (GO:0030509),0.5464163516103929,Excitatory,0.22370881726571426,0.2841735471940021,BMP signaling pathway (GO:0030509),None,None
BMP signaling pathway (GO:0030509),-0.15606914588567852,OPC,-0.09133523999116566,0.6981212443531126,BMP signaling pathway (GO:0030509),None,None
BMP signaling pathway (GO:0030509),-0.10779411354810292,Oligodendrocyte,-0.06690746614769924,0.7801998930667406,BMP signaling pathway (GO:0030509),None,None
BMP signaling pathway (GO:0030509),-0.32750441548261566,Microglia,-0.16754014922483942,0.4704306228220183,BMP signaling pathway (GO:0030509),None,None
C21-steroid hormone biosynthetic process (GO:0006700),0.6811704341667142,Excitatory,0.33983768702362,0.20836730077155569,C21-steroid hormone biosynthetic process (GO:0006700),Steroid hormone biosynthesis,no
C21-steroid hormone biosynthetic process (GO:0006700),0.17549204828439602,Inhibitory,0.13125933336321993,0.6675871240400649,C21-steroid hormone biosynthetic process (GO:0006700),Steroid hormone biosynthesis,no
C21-steroid hormone biosynthetic process (GO:0006700),-2.4400943135110196,OPC,-0.7933877935446341,0.003629992155271251,C21-steroid hormone biosynthetic process (GO:0006700),Steroid hormone biosynthesis,no
C21-steroid hormone biosynthetic process (GO:0006700),0.04226069506299022,Microglia,0.03551332517550765,0.9072757539426692,C21-steroid hormone biosynthetic process (GO:0006700),Steroid hormone biosynthesis,no
