,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
0,gliogenesis (GO:0042063),GO:0042063,developmental process,cellular developmental process,cell differentiation,neurogenesis,,,,
1,neutral amino acid transport (GO:0015804),GO:0015804,localization,establishment of localization,transport,organic substance transport,organic anion transport,carboxylic acid transport,,
2,regulation of glucocorticoid receptor signaling pathway (GO:2000322),GO:2000322,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,regulation of intracellular steroid hormone receptor signaling pathway,,,
3,positive regulation of cellular response to insulin stimulus (GO:1900078),GO:1900078,biological regulation,regulation of biological process,regulation of response to stimulus,positive regulation of response to stimulus,,,,
4,synaptic vesicle localization (GO:0097479),GO:0097479,localization,organelle localization,vesicle localization,,,,,
5,mRNA destabilization (GO:0061157),GO:0061157,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of RNA metabolic process,negative regulation of protein metabolic process,positive regulation of mRNA metabolic process,
6,regulation of fatty acid beta-oxidation (GO:0031998),GO:0031998,biological regulation,regulation of biological process,regulation of metabolic process,regulation of small molecule metabolic process,regulation of lipid metabolic process,regulation of fatty acid metabolic process,regulation of fatty acid oxidation,
7,hyaluronan catabolic process (GO:0030214),GO:0030214,metabolic process,catabolic process,organonitrogen compound metabolic process,macromolecule catabolic process,aminoglycan catabolic process,mucopolysaccharide metabolic process,hyaluronan metabolic process,
8,histone arginine methylation (GO:0034969),GO:0034969,metabolic process,methylation,macromolecule methylation,protein modification process,peptidyl-arginine methylation,peptidyl-arginine modification,,
9,regulation of glucose import in response to insulin stimulus (GO:2001273),GO:2001273,,,,,,,,
10,mammary gland epithelium development (GO:0061180),GO:0061180,developmental process,anatomical structure development,tissue development,epithelium development,,,,
11,ribosomal small subunit export from nucleus (GO:0000056),GO:0000056,cellular process,protein-containing complex localization,transport,nuclear transport,nucleocytoplasmic transport,nuclear export,,
12,regulation of cell migration involved in sprouting angiogenesis (GO:0090049),GO:0090049,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of cell motility,regulation of cell migration,regulation of blood vessel endothelial cell migration,,
13,embryonic organ morphogenesis (GO:0048562),GO:0048562,developmental process,anatomical structure morphogenesis,embryonic morphogenesis,,,,,
14,plasma membrane invagination (GO:0099024),GO:0099024,cellular process,cellular component organization or biogenesis,cellular component organization,membrane organization,membrane invagination,,,
15,regulation of vascular endothelial cell proliferation (GO:1905562),GO:1905562,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell population proliferation,regulation of epithelial cell proliferation,regulation of endothelial cell proliferation,,
16,neural crest cell migration (GO:0001755),GO:0001755,cellular process,cell motility,cell migration,ameboidal-type cell migration,mesenchymal cell migration,,,
17,diterpenoid metabolic process (GO:0016101),GO:0016101,cellular process,cellular metabolic process,lipid metabolic process,isoprenoid metabolic process,terpenoid metabolic process,,,
18,histone methylation (GO:0016571),GO:0016571,metabolic process,methylation,macromolecule methylation,protein methylation,histone modification,,,
19,aminoglycan metabolic process (GO:0006022),GO:0006022,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,,,,,
20,myoblast differentiation (GO:0045445),GO:0045445,developmental process,cellular developmental process,cell differentiation,,,,,
21,"positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900153)",GO:1900153,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of RNA metabolic process,regulation of mRNA metabolic process,positive regulation of mRNA metabolic process,
22,positive regulation of cAMP biosynthetic process (GO:0030819),GO:0030819,,,,,,,,
23,actin crosslink formation (GO:0051764),GO:0051764,cellular process,cellular component organization or biogenesis,cellular component organization,supramolecular fiber organization,actin filament organization,,,
24,cardiac muscle cell contraction (GO:0086003),GO:0086003,cellular process,actin filament-based process,actin filament-based movement,actin-mediated cell contraction,,,,
25,regulation of ERBB signaling pathway (GO:1901184),GO:1901184,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,,,,
26,histone exchange (GO:0043486),GO:0043486,,,,,,,,
27,positive regulation of mRNA catabolic process (GO:0061014),GO:0061014,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of RNA metabolic process,regulation of mRNA metabolic process,positive regulation of mRNA metabolic process,
28,positive regulation of fatty acid metabolic process (GO:0045923),GO:0045923,biological regulation,regulation of biological process,positive regulation of biological process,regulation of small molecule metabolic process,positive regulation of small molecule metabolic process,regulation of fatty acid metabolic process,,
29,cytoplasmic mRNA processing body assembly (GO:0033962),GO:0033962,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,organelle assembly,non-membrane-bounded organelle assembly,,
30,cell differentiation in hindbrain (GO:0021533),GO:0021533,developmental process,cellular developmental process,cell differentiation,,,,,
31,regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798),GO:1903798,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of nucleobase-containing compound metabolic process,regulation of gene silencing by RNA,,
32,positive regulation of circadian rhythm (GO:0042753),GO:0042753,biological regulation,regulation of biological process,regulation of circadian rhythm,,,,,
33,positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213),GO:0060213,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of RNA metabolic process,regulation of mRNA metabolic process,regulation of nuclear-transcribed mRNA poly(A) tail shortening,
34,sterol metabolic process (GO:0016125),GO:0016125,metabolic process,organic substance metabolic process,organic hydroxy compound metabolic process,steroid metabolic process,,,,
35,"regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900151)",GO:1900151,biological regulation,regulation of biological process,regulation of RNA stability,regulation of cellular metabolic process,regulation of RNA metabolic process,regulation of mRNA metabolic process,,
36,liver development (GO:0001889),GO:0001889,developmental process,anatomical structure development,animal organ development,gland development,,,,
37,peptidyl-arginine omega-N-methylation (GO:0035247),GO:0035247,metabolic process,methylation,macromolecule methylation,protein methylation,peptidyl-arginine methylation,peptidyl-arginine modification,,
