pathway,score_adj,celltype,logFC,P.Value,names,shortened,highlight
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-0.8705800445877558,Inhibitory,-0.283341769731887,0.13471624076659786,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),1.3628185920790798,Endothelial,0.6539947511676099,0.04336919968162386,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
7-methylguanosine RNA capping (GO:0009452),-0.16720884476573453,Excitatory,-0.0629527872416058,0.680442067088966,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),1.6012178541867421,OPC,0.5611777262992141,0.025048524342078292,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),-0.12635523930472603,Inhibitory,-0.05392172402542415,0.7475577714785779,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),0.21746416472823865,Astrocyte,0.10473483963295162,0.6060882090824162,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),0.164702214013786,Oligodendrocyte,0.09037082227519898,0.6843807509682782,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),-0.23517373236526895,Endothelial,-0.1242835763407401,0.5818704035214768,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine mRNA capping (GO:0006370),-0.23517373236526895,Endothelial,-0.1242835763407401,0.5818704035214768,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),0.164702214013786,Oligodendrocyte,0.09037082227519898,0.6843807509682782,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),-0.16720884476573453,Excitatory,-0.0629527872416058,0.680442067088966,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),0.21746416472823865,Astrocyte,0.10473483963295162,0.6060882090824162,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),-0.12635523930472603,Inhibitory,-0.05392172402542415,0.7475577714785779,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),1.6012178541867421,OPC,0.5611777262992141,0.025048524342078292,7-methylguanosine mRNA capping (GO:0006370),None,None
ATP biosynthetic process (GO:0006754),-0.23707253350062948,OPC,-0.13116662731917886,0.5793319314804672,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),-0.9151040431386617,Inhibitory,-0.32658416287922565,0.12158946760769587,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),0.08609611377349617,Microglia,0.04609678531912992,0.8201700123011645,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),-2.108927020708968,Astrocyte,-0.5593009568123624,0.00778167304087003,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),0.052879729764022616,Endothelial,0.03546338016603616,0.8853607610109973,ATP biosynthetic process (GO:0006754),None,None
ATP generation from ADP (GO:0006757),0.010936147983962875,Endothelial,0.010506020401633162,0.9751329958149855,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),0.5169966077891984,Excitatory,0.2425046782135192,0.304090877767808,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-0.4443068770035777,Inhibitory,-0.2812945673587357,0.3594952223191177,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-1.4555315959199444,Astrocyte,-0.5858235650524304,0.035032280058696186,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-1.0727324403007352,OPC,-0.5571239895599343,0.08457997641319531,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-0.4222219625398995,Oligodendrocyte,-0.25046436335558514,0.37824921680945156,ATP generation from ADP (GO:0006757),ATP generation,no
ATP-dependent chromatin remodeling (GO:0043044),-0.23266132395394545,Endothelial,-0.09169069721879863,0.5852462991005158,ATP-dependent chromatin remodeling (GO:0043044),None,None
ATP-dependent chromatin remodeling (GO:0043044),0.0678611717596941,Excitatory,0.031522557808524004,0.8553400904828238,ATP-dependent chromatin remodeling (GO:0043044),None,None
ATP-dependent chromatin remodeling (GO:0043044),-0.04683185512132145,Oligodendrocyte,-0.024874491031318585,0.8977763173850454,ATP-dependent chromatin remodeling (GO:0043044),None,None
ATP-dependent chromatin remodeling (GO:0043044),-0.37317873054734607,Astrocyte,-0.14976839256131785,0.4234686549221247,ATP-dependent chromatin remodeling (GO:0043044),None,None
ATP-dependent chromatin remodeling (GO:0043044),1.9886606624126237,Microglia,0.6787918857643251,0.0102645363631708,ATP-dependent chromatin remodeling (GO:0043044),None,None
ATP-dependent chromatin remodeling (GO:0043044),0.45317890028302105,Inhibitory,0.16644946947908473,0.35222574770109216,ATP-dependent chromatin remodeling (GO:0043044),None,None
ATP-dependent chromatin remodeling (GO:0043044),1.3987154205516754,OPC,0.4739297718671922,0.039928645645437764,ATP-dependent chromatin remodeling (GO:0043044),None,None
Arp2/3 complex-mediated actin nucleation (GO:0034314),0.1415590398543297,Microglia,0.10168912963892943,0.721840026237991,Arp2/3 complex-mediated actin nucleation (GO:0034314),None,None
Arp2/3 complex-mediated actin nucleation (GO:0034314),0.7980120385307979,Endothelial,0.36736030613271176,0.15921645920484598,Arp2/3 complex-mediated actin nucleation (GO:0034314),None,None
Arp2/3 complex-mediated actin nucleation (GO:0034314),1.3360886449383647,Excitatory,0.47269753351747545,0.04612234234796797,Arp2/3 complex-mediated actin nucleation (GO:0034314),None,None
Arp2/3 complex-mediated actin nucleation (GO:0034314),1.1952781218896955,Inhibitory,0.4138904957422984,0.06378548735413633,Arp2/3 complex-mediated actin nucleation (GO:0034314),None,None
B cell activation (GO:0042113),-0.15939170838558875,Endothelial,-0.1053683393606812,0.6928006582007729,B cell activation (GO:0042113),None,None
B cell activation (GO:0042113),0.3576848076799349,Inhibitory,0.17386915669023528,0.43884908007909607,B cell activation (GO:0042113),None,None
B cell activation (GO:0042113),1.0909617378530307,Astrocyte,0.4736007695539547,0.08110325081701035,B cell activation (GO:0042113),None,None
B cell activation (GO:0042113),1.309851240066296,OPC,0.41548395150882633,0.04899466132215209,B cell activation (GO:0042113),None,None
B cell activation (GO:0042113),0.4391197709275691,Oligodendrocyte,0.20793652015024017,0.36381468847461806,B cell activation (GO:0042113),None,None
B cell activation (GO:0042113),0.2143842844942679,Microglia,0.11183737863387205,0.6104016733303872,B cell activation (GO:0042113),None,None
C-terminal protein amino acid modification (GO:0018410),0.03235758054964959,Oligodendrocyte,0.01963648767493334,0.9282018281437578,C-terminal protein amino acid modification (GO:0018410),None,None
C-terminal protein amino acid modification (GO:0018410),0.25453026682542484,Endothelial,0.13302844340624803,0.5565058489339515,C-terminal protein amino acid modification (GO:0018410),None,None
C-terminal protein amino acid modification (GO:0018410),1.7653773187616737,Astrocyte,0.5164601710110284,0.017164165018277226,C-terminal protein amino acid modification (GO:0018410),None,None
C-terminal protein amino acid modification (GO:0018410),1.343760842663345,Microglia,0.4894417637392303,0.04531470502793665,C-terminal protein amino acid modification (GO:0018410),None,None
