pathway,score_adj,celltype,logFC,P.Value,names,shortened,highlight
3'-UTR-mediated mRNA destabilization (GO:0061158),0.054308597350966326,Microglia,0.034849955150655365,0.8824526317538068,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),-0.05135840121202385,Endothelial,-0.04173586504662677,0.8884676079743268,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),1.675355031441319,Astrocyte,0.6631227828148092,0.02111761989480449,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
7-methylguanosine RNA capping (GO:0009452),0.6217860938703573,Microglia,0.28648510144331757,0.23889876581556524,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),2.1700952619791667,OPC,0.5551394179428544,0.006759346936570387,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),0.21732250419066987,Excitatory,0.08402717197338902,0.6062859384793022,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),0.35850802915827124,Oligodendrocyte,0.2037051658271638,0.4380180130972565,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),0.5781519402370285,Astrocyte,0.23030589684222413,0.2641484458242783,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),0.22767838920889943,Inhibitory,0.10620922397092547,0.5919998692324377,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),-0.07493983337811894,Endothelial,-0.037179777641666634,0.8415117155651919,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine mRNA capping (GO:0006370),0.22767838920889943,Inhibitory,0.10620922397092547,0.5919998692324377,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),0.21732250419066987,Excitatory,0.08402717197338902,0.6062859384793022,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),0.5781519402370285,Astrocyte,0.23030589684222413,0.2641484458242783,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),0.6217860938703573,Microglia,0.28648510144331757,0.23889876581556524,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),0.35850802915827124,Oligodendrocyte,0.2037051658271638,0.4380180130972565,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),2.1700952619791667,OPC,0.5551394179428544,0.006759346936570387,7-methylguanosine mRNA capping (GO:0006370),None,None
