pathway,score_adj,celltype,logFC,P.Value,names,shortened,highlight
'de novo' posttranslational protein folding (GO:0051084),1.4754119789581133,Excitatory,0.4812729516390945,0.03346478360448883,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),1.8137623838484422,Oligodendrocyte,0.5389099772601562,0.015354568496883214,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),0.43008538793127493,Microglia,0.2749189802998983,0.37146218763015393,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),0.7109838977893779,Inhibitory,0.3243679884778164,0.19454322105116753,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),2.1555838767026283,OPC,0.6573419400607754,0.006989017425649001,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),1.3697598046280495,Astrocyte,0.5242577414248216,0.04268155125112565,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),0.9904926862591104,Endothelial,0.42951549712953807,0.1022132773693093,'de novo' posttranslational protein folding (GO:0051084),None,None
2-oxoglutarate metabolic process (GO:0006103),-2.0723848564584193,Inhibitory,-0.6491520746626347,0.008464769636364503,2-oxoglutarate metabolic process (GO:0006103),None,None
2-oxoglutarate metabolic process (GO:0006103),-0.5900316411984026,Excitatory,-0.23025524632990144,0.2570208519417221,2-oxoglutarate metabolic process (GO:0006103),None,None
2-oxoglutarate metabolic process (GO:0006103),0.10548896430357003,Endothelial,0.06059225052347977,0.7843520495085268,2-oxoglutarate metabolic process (GO:0006103),None,None
2-oxoglutarate metabolic process (GO:0006103),-0.3020228052375292,Microglia,-0.2207288355113888,0.498858291224504,2-oxoglutarate metabolic process (GO:0006103),None,None
2-oxoglutarate metabolic process (GO:0006103),-1.5186200431547774,Astrocyte,-0.488006359986343,0.030295627818727838,2-oxoglutarate metabolic process (GO:0006103),None,None
2-oxoglutarate metabolic process (GO:0006103),-1.3718932981245817,Oligodendrocyte,-0.478182163515638,0.042472390160655175,2-oxoglutarate metabolic process (GO:0006103),None,None
2-oxoglutarate metabolic process (GO:0006103),-1.302247321963079,OPC,-0.44413560473207125,0.049860046366985614,2-oxoglutarate metabolic process (GO:0006103),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),1.5935973870987017,OPC,0.5501308039336852,0.02549192387494367,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),2.068558164964121,Inhibitory,0.7815672365552895,0.008539684679508486,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),1.5253343692873746,Oligodendrocyte,0.5713074616901405,0.029830850164218145,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),2.3017071967091405,Excitatory,0.8032338595454469,0.004992209510326836,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),0.19401283624945598,Microglia,0.09083734133741088,0.6397159274031742,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),1.6034252651383987,Astrocyte,0.651731286684325,0.024921531924968175,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),0.3613393417944262,Endothelial,0.1948878648512579,0.43517171357744067,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),-2.5725080882738163,Oligodendrocyte,-0.7727672434945347,0.0026760357544093408,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),-0.04236099986340109,Astrocyte,-0.024878408527687912,0.9070662334241107,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),-0.042731161517389836,Excitatory,-0.023394049711139703,0.9062934442166879,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),-0.756158860525022,OPC,-0.32130167932029496,0.17532390674313633,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),0.08862876947164919,Microglia,0.06779472074796059,0.8154009827216171,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),-0.5550336517790752,Inhibitory,-0.23108173879716365,0.2785905291372342,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-UTR-mediated mRNA stabilization (GO:0070935),0.642617863824559,Endothelial,0.3025634092444255,0.22771001723934559,3'-UTR-mediated mRNA stabilization (GO:0070935),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-0.19282131549874568,Inhibitory,-0.11103884408515234,0.6414734477403181,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-0.061434084617772826,OPC,-0.04066990976300256,0.8680923226806072,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),0.25247592834553756,Microglia,0.13317211660619732,0.5591445184332098,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-1.7829329534820384,Endothelial,-0.5215493478313235,0.016484168549926192,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),0.06438267696086221,Astrocyte,0.04047783544358259,0.8622184723603682,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),0.027661237049093845,Excitatory,0.019306715757678655,0.9382936192092988,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
4-hydroxyproline metabolic process (GO:0019471),2.0455640862403768,Astrocyte,0.5884191224724429,0.009004008861710305,4-hydroxyproline metabolic process (GO:0019471),None,None
4-hydroxyproline metabolic process (GO:0019471),1.4618888951532085,Excitatory,0.4288196253902889,0.03452320481895021,4-hydroxyproline metabolic process (GO:0019471),None,None
4-hydroxyproline metabolic process (GO:0019471),-1.9405651506209072,Inhibitory,-0.6099357815213006,0.011466604924192965,4-hydroxyproline metabolic process (GO:0019471),None,None
4-hydroxyproline metabolic process (GO:0019471),0.571244497151207,OPC,0.39440929290371707,0.26838330880068045,4-hydroxyproline metabolic process (GO:0019471),None,None
4-hydroxyproline metabolic process (GO:0019471),0.6802880372213939,Oligodendrocyte,0.3394117499989045,0.20879109059500867,4-hydroxyproline metabolic process (GO:0019471),None,None
5S class rRNA transcription from RNA polymerase III type 1 promoter (GO:0042791),-0.8484211403615943,Inhibitory,-0.3734773068087159,0.14176821122476302,5S class rRNA transcription from RNA polymerase III type 1 promoter (GO:0042791),None,None
5S class rRNA transcription from RNA polymerase III type 1 promoter (GO:0042791),-1.0432397520813577,OPC,-0.4732825839811621,0.09052327295962173,5S class rRNA transcription from RNA polymerase III type 1 promoter (GO:0042791),None,None
5S class rRNA transcription from RNA polymerase III type 1 promoter (GO:0042791),-1.8342510030614767,Astrocyte,-0.5649138198011174,0.014647010636468295,5S class rRNA transcription from RNA polymerase III type 1 promoter (GO:0042791),None,None
5S class rRNA transcription from RNA polymerase III type 1 promoter (GO:0042791),-1.2919380305543757,Excitatory,-0.49765939820252514,0.05105778490911819,5S class rRNA transcription from RNA polymerase III type 1 promoter (GO:0042791),None,None
7-methylguanosine RNA capping (GO:0009452),-0.6199709565184693,Microglia,-0.233532407201079,0.2398993346545381,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),-0.35812332047951734,Endothelial,-0.16987322769758434,0.43840619207488774,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),-0.6031900930228286,OPC,-0.2631481758822799,0.24935030683881593,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),-0.34167521993007893,Oligodendrocyte,-0.18524699011910778,0.4553284428351052,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),-1.2079362799045104,Excitatory,-0.39264123115819427,0.06195319667225202,7-methylguanosine RNA capping (GO:0009452),None,None
