,genes,pathway,count
0,APOE,acylglycerol metabolic process (GO:0006639),34
1,APOE,positive regulation of neuron differentiation (GO:0045666),34
2,APOE,second-messenger-mediated signaling (GO:0019932),34
3,APOE,positive regulation of neuron projection development (GO:0010976),34
4,APOE,regulation of extent of cell growth (GO:0061387),34
5,APOE,regulation of cholesterol metabolic process (GO:0090181),34
6,APOE,regulation of dendritic spine development (GO:0060998),34
7,APOE,phospholipid transport (GO:0015914),34
8,APOE,negative regulation of amyloid-beta formation (GO:1902430),34
9,APOE,lipid transport (GO:0006869),34
10,APOE,amyloid precursor protein metabolic process (GO:0042982),34
11,APOE,negative regulation of inflammatory response (GO:0050728),34
12,APOE,positive regulation of monooxygenase activity (GO:0032770),34
13,APOE,regulation of blood vessel endothelial cell migration (GO:0043535),34
14,APOE,cyclic-nucleotide-mediated signaling (GO:0019935),34
15,APOE,positive regulation of membrane protein ectodomain proteolysis (GO:0051044),34
16,APOE,positive regulation of biosynthetic process (GO:0009891),34
17,APOE,cholesterol homeostasis (GO:0042632),34
18,APOE,positive regulation of nitric-oxide synthase activity (GO:0051000),34
19,APOE,long-chain fatty acid transport (GO:0015909),34
20,APOE,regulation of membrane protein ectodomain proteolysis (GO:0051043),34
21,APOE,regulation of neuronal synaptic plasticity (GO:0048168),34
22,APOE,positive regulation of endocytosis (GO:0045807),34
23,APOE,positive regulation of transport (GO:0051050),34
24,APOE,positive regulation of cell projection organization (GO:0031346),34
25,APOE,sterol metabolic process (GO:0016125),34
26,APOE,regulation of cholesterol biosynthetic process (GO:0045540),34
27,APOE,triglyceride metabolic process (GO:0006641),34
28,APOE,neuron projection regeneration (GO:0031102),34
29,APOE,positive regulation of lipid biosynthetic process (GO:0046889),34
30,APOE,long-term memory (GO:0007616),34
31,APOE,sterol homeostasis (GO:0055092),34
32,APOE,regulation of axonogenesis (GO:0050770),34
33,APOE,negative regulation of cell projection organization (GO:0031345),34
34,TGFB1,positive regulation of transcription regulatory region DNA binding (GO:2000679),29
35,TGFB1,positive regulation of biomineral tissue development (GO:0070169),29
36,TGFB1,regulation of peptidyl-threonine phosphorylation (GO:0010799),29
37,TGFB1,response to cholesterol (GO:0070723),29
38,TGFB1,positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800),29
39,TGFB1,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092),29
40,TGFB1,negative regulation of gene silencing by miRNA (GO:0060965),29
41,TGFB1,ATP biosynthetic process (GO:0006754),29
42,TGFB1,protein export from nucleus (GO:0006611),29
43,TGFB1,positive regulation of extracellular matrix organization (GO:1903055),29
44,TGFB1,positive regulation of peptide secretion (GO:0002793),29
45,TGFB1,negative regulation of protein localization to membrane (GO:1905476),29
46,TGFB1,positive regulation of blood vessel endothelial cell migration (GO:0043536),29
47,TGFB1,chordate embryonic development (GO:0043009),29
48,TGFB1,regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798),29
49,TGFB1,negative regulation of cell-cell adhesion (GO:0022408),29
50,TGFB1,pathway-restricted SMAD protein phosphorylation (GO:0060389),29
51,TGFB1,regulation of protein import into nucleus (GO:0042306),29
52,TGFB1,positive regulation of peptidyl-threonine phosphorylation (GO:0010800),29
53,TGFB1,regulation of blood vessel endothelial cell migration (GO:0043535),29
54,TGFB1,regulation of skeletal muscle tissue development (GO:0048641),29
55,TGFB1,ventricular cardiac muscle tissue morphogenesis (GO:0055010),29
56,TGFB1,positive regulation of bone mineralization (GO:0030501),29
57,TGFB1,response to estradiol (GO:0032355),29
58,TGFB1,purine ribonucleotide biosynthetic process (GO:0009152),29
59,TGFB1,negative regulation of RNA metabolic process (GO:0051253),29
60,TGFB1,regulation of protein localization to plasma membrane (GO:1903076),29
61,TGFB1,negative regulation of cell growth (GO:0030308),29
62,TGFB1,negative regulation of protein localization to cell periphery (GO:1904376),29
63,DMTN,negative regulation of adherens junction organization (GO:1903392),22
64,DLG4,positive regulation of synaptic transmission (GO:0050806),22
65,DMTN,regulation of filopodium assembly (GO:0051489),22
66,DMTN,negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732),22
67,DMTN,cellular response to cAMP (GO:0071320),22
68,DMTN,calcium-mediated signaling using intracellular calcium source (GO:0035584),22
69,DMTN,negative regulation of intracellular protein transport (GO:0090317),22
70,DMTN,myeloid cell development (GO:0061515),22
71,DMTN,regulation of cytoskeleton organization (GO:0051493),22
72,DLG4,regulation of protein tyrosine kinase activity (GO:0061097),22
73,DMTN,negative regulation of cell-matrix adhesion (GO:0001953),22
74,DLG4,regulation of long-term neuronal synaptic plasticity (GO:0048169),22
75,DMTN,positive regulation of cell morphogenesis involved in differentiation (GO:0010770),22
76,DLG4,receptor clustering (GO:0043113),22
77,DLG4,positive regulation of excitatory postsynaptic potential (GO:2000463),22
78,DMTN,regulation of actin cytoskeleton organization (GO:0032956),22
79,DLG4,protein localization to synapse (GO:0035418),22
80,DLG4,dendritic spine morphogenesis (GO:0060997),22
81,DLG4,negative regulation of receptor internalization (GO:0002091),22
82,DLG4,regulation of neurotransmitter receptor activity (GO:0099601),22
83,DLG4,regulation of neuronal synaptic plasticity (GO:0048168),22
84,DLG4,regulation of NMDA receptor activity (GO:2000310),22
85,DLG4,regulation of cation channel activity (GO:2001257),22
86,DLG4,regulation of glutamate receptor signaling pathway (GO:1900449),22
87,DLG4,receptor localization to synapse (GO:0097120),22
88,DLG4,dendritic spine organization (GO:0097061),22
89,DLG4,modulation of chemical synaptic transmission (GO:0050804),22
90,DLG4,neurotransmitter receptor diffusion trapping (GO:0099628),22
91,DLG4,dendrite morphogenesis (GO:0048813),22
92,DLG4,negative regulation of receptor-mediated endocytosis (GO:0048261),22
93,DLG4,positive regulation of signaling (GO:0023056),22
94,DMTN,regulation of actin filament-based process (GO:0032970),22
95,DMTN,response to cAMP (GO:0051591),22
96,PTK2B,negative regulation of ion transport (GO:0043271),22
97,DMTN,regulation of wound healing (GO:0061041),22
98,PTK2B,regulation of cation channel activity (GO:2001257),22
99,PTK2B,vascular endothelial growth factor receptor signaling pathway (GO:0048010),22
100,PTK2B,positive regulation of excitatory postsynaptic potential (GO:2000463),22
101,PTK2B,regulation of actin filament polymerization (GO:0030833),22
102,PTK2B,regulation of actin cytoskeleton organization (GO:0032956),22
103,PTK2B,positive regulation of neuron differentiation (GO:0045666),22
104,PTK2B,negative regulation of biomineral tissue development (GO:0070168),22
105,PTK2B,positive regulation of cell projection organization (GO:0031346),22
106,PTK2B,regulation of glutamate receptor signaling pathway (GO:1900449),22
107,PTK2B,cellular response to retinoic acid (GO:0071300),22
108,PTK2B,regulation of neurotransmitter receptor activity (GO:0099601),22
109,PTK2B,positive regulation of cytoskeleton organization (GO:0051495),22
110,PTK2B,regulation of establishment or maintenance of cell polarity (GO:0032878),22
111,PTK2B,long-term synaptic potentiation (GO:0060291),22
112,PTK2B,positive regulation of neuron projection development (GO:0010976),22
113,PTK2B,"positive regulation of synaptic transmission, glutamatergic (GO:0051968)",22
114,PTK2B,regulation of calcium ion transport into cytosol (GO:0010522),22
115,PTK2B,positive regulation of synaptic transmission (GO:0050806),22
116,PTK2B,regulation of establishment of cell polarity (GO:2000114),22
117,PTK2B,regulation of calcium ion transmembrane transport (GO:1903169),22
118,DLG4,postsynaptic neurotransmitter receptor diffusion trapping (GO:0098970),22
119,DMTN,negative regulation of cell junction assembly (GO:1901889),22
120,DMTN,negative regulation of peptidyl-threonine phosphorylation (GO:0010801),22
121,DMTN,regulation of peptidyl-threonine phosphorylation (GO:0010799),22
122,DMTN,regulation of lamellipodium organization (GO:1902743),22
123,DMTN,calcium-mediated signaling (GO:0019722),22
124,DMTN,negative regulation of protein localization to membrane (GO:1905476),22
125,DMTN,lamellipodium organization (GO:0097581),22
126,DMTN,negative regulation of focal adhesion assembly (GO:0051895),22
127,DLG4,positive regulation of protein tyrosine kinase activity (GO:0061098),22
128,PTK2B,regulation of NMDA receptor activity (GO:2000310),22
129,CAV3,triglyceride metabolic process (GO:0006641),17
130,CAV3,acylglycerol metabolic process (GO:0006639),17
131,CAV3,regulation of microtubule polymerization (GO:0031113),17
132,CAV3,organic substance transport (GO:0071702),17
133,CAV3,regulation of cardiac muscle cell contraction (GO:0086004),17
134,CAV3,muscle contraction (GO:0006936),17
135,CAV3,negative regulation of ion transport (GO:0043271),17
136,CAV3,sterol homeostasis (GO:0055092),17
137,CAV3,regulation of calcium ion transmembrane transport (GO:1903169),17
138,CAV3,lipid transport (GO:0006869),17
139,CAV3,muscle cell development (GO:0055001),17
140,CAV3,regulation of heart contraction (GO:0008016),17
141,CAV3,regulation of calcium ion transmembrane transporter activity (GO:1901019),17
142,CAV3,plasma membrane organization (GO:0007009),17
143,CAV3,regulation of membrane depolarization (GO:0003254),17
144,CAV3,cholesterol homeostasis (GO:0042632),17
145,CAV3,regulation of blood circulation (GO:1903522),17
146,PRNP,dendritic spine organization (GO:0097061),16
147,RPL23A,ncRNA processing (GO:0034470),16
148,RPL23A,rRNA processing (GO:0006364),16
149,RPS27,cellular macromolecule biosynthetic process (GO:0034645),16
150,RPL23A,translation (GO:0006412),16
151,RPL23A,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),16
152,PRNP,calcium-mediated signaling using intracellular calcium source (GO:0035584),16
153,RPL3,viral transcription (GO:0019083),16
154,RPL3,protein targeting to ER (GO:0045047),16
155,RPL23A,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",16
156,RPL23A,rRNA metabolic process (GO:0016072),16
157,RPL23A,ribosomal large subunit biogenesis (GO:0042273),16
158,RPL23A,viral gene expression (GO:0019080),16
159,PRNP,neuron projection maintenance (GO:1990535),16
