,Excitatory,Inhibitory,Astrocyte,Microglia,Oligodendrocyte,OPC
0,CPQ,ST18,PKD1,ATP8B1,LRP4,TUBB4A
1,ST18,RAB11A,APOE,0,SHC2,PLP1
2,DUOX1,ANGPT2,GYS1,0,DOCK2,PDE5A
3,RAB11A,METAP1D,SEMA3B,0,HSPA8,BAIAP2
4,CYP3A5,B3GAT2,DMTN,0,0,0
5,ANGPT2,POLE2,0,0,0,0
6,NTNG2,TF,0,0,0,0
7,POLE2,AGRN,0,0,0,0
8,GPSM2,RPS25,0,0,0,0
9,TF,PDE5A,0,0,0,0
10,HHIP,PPFIA3,0,0,0,0
11,LPAR6,UBTF,0,0,0,0
12,IL18,LRFN4,0,0,0,0
13,AGRN,RND3,0,0,0,0
14,SGTA,WDR61,0,0,0,0
15,PDE5A,NDUFA12,0,0,0,0
16,PPFIA3,FN1,0,0,0,0
17,BSG,CRLF3,0,0,0,0
18,TP53TG5,ADGRL1,0,0,0,0
19,SLC43A2,TIMP3,0,0,0,0
20,WDR61,AGAP3,0,0,0,0
21,DCLRE1C,ACAP3,0,0,0,0
22,CYGB,SYT7,0,0,0,0
23,TGFB1,CRYAB,0,0,0,0
24,CA1,RPL3,0,0,0,0
25,CHAC2,0,0,0,0,0
26,RPP38,0,0,0,0,0
27,PPP1R9B,0,0,0,0,0
28,GNAI2,0,0,0,0,0
29,GNAO1,0,0,0,0,0
30,ZER1,0,0,0,0,0
31,CAV3,0,0,0,0,0
32,NDUFA12,0,0,0,0,0
33,RPL41,0,0,0,0,0
34,MGST1,0,0,0,0,0
35,PODXL2,0,0,0,0,0
36,SRCIN1,0,0,0,0,0
37,DLG4,0,0,0,0,0
38,FN1,0,0,0,0,0
39,CRLF3,0,0,0,0,0
40,IL7,0,0,0,0,0
41,STK11,0,0,0,0,0
42,CAMK2B,0,0,0,0,0
43,CAPZB,0,0,0,0,0
44,PKD2L2,0,0,0,0,0
45,LY86,0,0,0,0,0
46,AGAP3,0,0,0,0,0
47,DOCK5,0,0,0,0,0
48,NRXN2,0,0,0,0,0
