,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
0,cellular glucan metabolic process (GO:0006073),GO:0006073,,,,,,,,
1,negative regulation of ubiquitin-protein transferase activity (GO:0051444),GO:0051444,biological regulation,regulation of biological process,negative regulation of biological process,regulation of transferase activity,regulation of protein metabolic process,negative regulation of protein metabolic process,regulation of protein modification by small protein conjugation or removal,regulation of protein ubiquitination
2,pyrimidine nucleoside metabolic process (GO:0006213),GO:0006213,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleoside metabolic process,,,,
3,regulation of cell cycle G1/S phase transition (GO:1902806),GO:1902806,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell cycle,regulation of cell cycle process,regulation of cell cycle phase transition,,
4,cellular response to interleukin-7 (GO:0098761),GO:0098761,cellular process,response to chemical,cellular response to chemical stimulus,cellular response to organic substance,response to interleukin-7,,,
5,pigment granule transport (GO:0051904),GO:0051904,localization,establishment of localization,vesicle localization,establishment of vesicle localization,establishment of pigment granule localization,,,
6,organic substance transport (GO:0071702),GO:0071702,localization,establishment of localization,transport,,,,,
7,regulation of pH (GO:0006885),GO:0006885,homeostatic process,chemical homeostasis,monoatomic ion homeostasis,monoatomic cation homeostasis,,,,
8,ganglioside metabolic process (GO:0001573),GO:0001573,cellular process,cellular metabolic process,organonitrogen compound metabolic process,sphingolipid metabolic process,glycolipid metabolic process,,,
9,protein targeting to mitochondrion (GO:0006626),GO:0006626,cellular process,cellular localization,cellular macromolecule localization,mitochondrial transport,protein targeting,protein localization to mitochondrion,,
10,actin-myosin filament sliding (GO:0033275),GO:0033275,cellular process,actin filament-based process,actin filament-based movement,actin-mediated cell contraction,,,,
11,semaphorin-plexin signaling pathway involved in neuron projection guidance (GO:1902285),GO:1902285,biological regulation,regulation of biological process,cell surface receptor signaling pathway,semaphorin-plexin signaling pathway,,,,
12,heart contraction (GO:0060047),GO:0060047,multicellular organismal process,system process,circulatory system process,heart process,,,,
13,ventricular cardiac muscle tissue morphogenesis (GO:0055010),GO:0055010,developmental process,anatomical structure morphogenesis,tissue morphogenesis,muscle tissue morphogenesis,cardiac muscle tissue morphogenesis,,,
14,negative regulation of inflammatory response (GO:0050728),GO:0050728,biological regulation,regulation of biological process,regulation of response to stimulus,negative regulation of response to stimulus,regulation of defense response,,,
15,adrenergic receptor signaling pathway (GO:0071875),GO:0071875,biological regulation,regulation of biological process,G protein-coupled receptor signaling pathway,,,,,
16,branched-chain amino acid catabolic process (GO:0009083),GO:0009083,cellular process,catabolic process,small molecule catabolic process,amino acid catabolic process,carboxylic acid metabolic process,,,
17,muscle contraction (GO:0006936),GO:0006936,multicellular organismal process,system process,muscle system process,,,,,
18,in utero embryonic development (GO:0001701),GO:0001701,developmental process,multicellular organism development,embryo development,embryo development ending in birth or egg hatching,chordate embryonic development,,,
19,negative regulation of dendritic spine development (GO:0061000),GO:0061000,biological regulation,regulation of biological process,negative regulation of biological process,regulation of dendritic spine development,,,,
20,mRNA transcription from RNA polymerase II promoter (GO:0042789),GO:0042789,cellular process,primary metabolic process,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,RNA metabolic process,mRNA metabolic process,DNA-templated transcription,transcription by RNA polymerase II
21,ncRNA processing (GO:0034470),GO:0034470,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,RNA metabolic process,RNA processing,,
22,regulation of glutamate receptor signaling pathway (GO:1900449),GO:1900449,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,,,,
23,ERK1 and ERK2 cascade (GO:0070371),GO:0070371,biological regulation,regulation of biological process,intracellular signal transduction,MAPK cascade,,,,
24,positive regulation of peptidyl-threonine phosphorylation (GO:0010800),GO:0010800,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of protein metabolic process,regulation of protein modification process,regulation of protein phosphorylation,regulation of peptidyl-threonine phosphorylation
25,positive regulation of glucose metabolic process (GO:0010907),GO:0010907,biological regulation,regulation of biological process,positive regulation of biological process,regulation of small molecule metabolic process,positive regulation of carbohydrate metabolic process,,,
26,endothelial cell migration (GO:0043542),GO:0043542,cellular process,cell motility,cell migration,ameboidal-type cell migration,epithelial cell migration,,,
27,peptidyl-threonine modification (GO:0018210),GO:0018210,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,protein modification process,peptidyl-amino acid modification,,,
28,embryonic organ morphogenesis (GO:0048562),GO:0048562,developmental process,anatomical structure morphogenesis,embryonic morphogenesis,,,,,
29,purine ribonucleotide biosynthetic process (GO:0009152),GO:0009152,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,organophosphate biosynthetic process,nucleoside phosphate biosynthetic process,purine ribonucleotide metabolic process,,
30,T cell activation (GO:0042110),GO:0042110,cellular process,leukocyte activation,lymphocyte activation,,,,,
31,negative regulation of cell-matrix adhesion (GO:0001953),GO:0001953,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell adhesion,regulation of cell-substrate adhesion,regulation of cell-matrix adhesion,,
32,maturation of SSU-rRNA (GO:0030490),GO:0030490,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing
33,mitochondrial respiratory chain complex I biogenesis (GO:0097031),GO:0097031,,,,,,,,
34,glycogen biosynthetic process (GO:0005978),GO:0005978,cellular process,primary metabolic process,organic substance biosynthetic process,carbohydrate biosynthetic process,glucan metabolic process,glucan biosynthetic process,,
35,cell-substrate adherens junction assembly (GO:0007045),GO:0007045,cellular process,cellular component organization or biogenesis,cellular component organization,cellular component assembly,cell junction assembly,,,
36,amino acid transport (GO:0006865),GO:0006865,localization,establishment of localization,transport,organic substance transport,organic anion transport,carboxylic acid transport,,
37,cation transmembrane transport (GO:0098655),GO:0098655,cellular process,establishment of localization,transport,monoatomic ion transport,monoatomic cation transport,,,
38,regulation of synapse maturation (GO:0090128),GO:0090128,biological regulation,regulation of biological process,regulation of developmental process,regulation of cellular component organization,regulation of synapse organization,,,
39,dynamin family protein polymerization involved in membrane fission (GO:0003373),GO:0003373,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,protein polymerization,,
40,neurotrophin signaling pathway (GO:0038179),GO:0038179,biological regulation,regulation of biological process,cell surface receptor signaling pathway,,,,,
41,neurotransmitter receptor transport (GO:0099637),GO:0099637,cellular process,protein-containing complex localization,transport,protein localization,,,,
42,mitochondrial protein processing (GO:0034982),GO:0034982,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,proteolysis,protein processing,,,
43,fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539),GO:0033539,cellular process,catabolic process,small molecule catabolic process,fatty acid metabolic process,fatty acid catabolic process,monocarboxylic acid catabolic process,,
44,peptidyl-methionine modification (GO:0018206),GO:0018206,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,protein modification process,peptidyl-amino acid modification,,,
45,negative regulation of viral life cycle (GO:1903901),GO:1903901,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of viral process,,,,
46,regulation of endocytic recycling (GO:2001135),GO:2001135,biological regulation,regulation of biological process,regulation of localization,regulation of cellular localization,regulation of intracellular transport,,,
47,positive regulation of monooxygenase activity (GO:0032770),GO:0032770,biological regulation,regulation of molecular function,positive regulation of molecular function,regulation of oxidoreductase activity,positive regulation of oxidoreductase activity,,,
48,positive regulation of extracellular matrix organization (GO:1903055),GO:1903055,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of extracellular matrix organization,,,
49,acetylcholine receptor signaling pathway (GO:0095500),GO:0095500,biological regulation,regulation of biological process,postsynaptic signal transduction,,,,,
50,positive regulation of adherens junction organization (GO:1903393),GO:1903393,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,regulation of adherens junction organization,,,
51,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),GO:0006614,cellular process,cellular localization,localization within membrane,protein localization to membrane,protein targeting,protein localization to endoplasmic reticulum,,
52,positive regulation of membrane protein ectodomain proteolysis (GO:0051044),GO:0051044,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of cellular catabolic process,regulation of proteolysis,positive regulation of proteolysis,
53,endoplasmic reticulum mannose trimming (GO:1904380),GO:1904380,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,glycoprotein metabolic process,protein deglycosylation,protein demannosylation,"protein alpha-1,2-demannosylation",
54,regulation of synapse organization (GO:0050807),GO:0050807,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,,,,
55,regulation of synaptic vesicle transport (GO:1902803),GO:1902803,biological regulation,regulation of biological process,regulation of localization,regulation of transport,,,,
56,phosphatidic acid metabolic process (GO:0046473),GO:0046473,cellular process,cellular metabolic process,phosphorus metabolic process,glycerolipid metabolic process,glycerophospholipid metabolic process,,,
57,negative regulation of intracellular protein transport (GO:0090317),GO:0090317,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular localization,regulation of protein localization,regulation of intracellular protein transport,,
58,nuclear pore organization (GO:0006999),GO:0006999,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,nucleus organization,,,
59,regulation of interleukin-12 production (GO:0032655),GO:0032655,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of macromolecule metabolic process,regulation of gene expression,,,
