pathway,score_adj,celltype,logFC,P.Value,names,shortened,highlight
3'-UTR-mediated mRNA destabilization (GO:0061158),-1.7018903913507397,Microglia,-0.5803678734760699,0.01986596237691,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),-0.0637220338041127,Endothelial,-0.03411817327166422,0.8635310660617372,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-UTR-mediated mRNA destabilization (GO:0061158),-0.269492899896309,Astrocyte,-0.15090727173615406,0.5376592230221684,3'-UTR-mediated mRNA destabilization (GO:0061158),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-3.896101170041205,Inhibitory,-0.8703812108139914,0.0001270278156103128,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),0.3324921938983557,Endothelial,0.2068633043356458,0.46505873515637663,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
7-methylguanosine RNA capping (GO:0009452),0.5184416943982525,Inhibitory,0.16423679031903496,0.3030807167277573,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),0.22267190841753903,Excitatory,0.0753577290757463,0.5988638411631351,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),1.9001045589616194,OPC,0.5983082764755249,0.01258622354548481,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),-1.0265887438220196,Astrocyte,-0.331593562516693,0.09406136052238374,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),0.22329586421474526,Oligodendrocyte,0.1098580538655454,0.598004064478332,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine RNA capping (GO:0009452),0.16416144462291246,Endothelial,0.08535616341220462,0.6852334504298072,7-methylguanosine RNA capping (GO:0009452),None,None
7-methylguanosine mRNA capping (GO:0006370),-1.0265887438220196,Astrocyte,-0.331593562516693,0.09406136052238374,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),0.22329586421474526,Oligodendrocyte,0.1098580538655454,0.598004064478332,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),0.5184416943982525,Inhibitory,0.16423679031903496,0.3030807167277573,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),0.22267190841753903,Excitatory,0.0753577290757463,0.5988638411631351,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),1.9001045589616194,OPC,0.5983082764755249,0.01258622354548481,7-methylguanosine mRNA capping (GO:0006370),None,None
7-methylguanosine mRNA capping (GO:0006370),0.16416144462291246,Endothelial,0.08535616341220462,0.6852334504298072,7-methylguanosine mRNA capping (GO:0006370),None,None
ATP biosynthetic process (GO:0006754),-0.15627330860889305,Endothelial,-0.08955670392248262,0.6977931332587579,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),-0.3391697082135731,Inhibitory,-0.1415489001426854,0.4579628946821722,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),-2.5663120125468373,Microglia,-0.656739489360426,0.002714488383476487,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),-0.44358697117494617,OPC,-0.20451867144253677,0.3600916317525993,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),-2.111613001986832,Astrocyte,-0.5236876924727429,0.00773369424428556,ATP biosynthetic process (GO:0006754),None,None
ATP generation from ADP (GO:0006757),-0.07642399036573097,Excitatory,-0.04412444428245413,0.8386408435670712,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-0.2216709877981889,Inhibitory,-0.14893633898881037,0.6002456372952512,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-1.8061710795048105,Oligodendrocyte,-0.7014741920566364,0.01562532000788523,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-2.5879259633768874,Astrocyte,-0.8485785899211764,0.002582700440578646,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-0.11201871719060635,Endothelial,-0.0912257070591214,0.7726472848841034,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-1.4704624720850212,OPC,-0.6598811381844387,0.033848351937568175,ATP generation from ADP (GO:0006757),ATP generation,no
ATP metabolic process (GO:0046034),-0.012736014190665555,Endothelial,-0.006815881302840825,0.9711000708536354,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),0.4512035748472496,OPC,0.1852166362258837,0.35383144427812774,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),0.5929818529867421,Oligodendrocyte,0.23611216805509083,0.25528079696214545,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),0.18864744695136032,Microglia,0.09572261412502994,0.647668168666488,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),0.44703665425573497,Excitatory,0.16664401247267707,0.35724268576015805,ATP metabolic process (GO:0046034),None,None
