pathway,score_adj,celltype,logFC,P.Value,names,shortened,highlight
'de novo' posttranslational protein folding (GO:0051084),-1.6040830093872755,Oligodendrocyte,-0.5634085375771544,0.02488381653067549,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),-0.35460527460295377,Excitatory,-0.20002610392827191,0.44197196823525375,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),0.0818472532718601,Astrocyte,0.051672178000634506,0.8282334124023478,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),-0.7752428405544113,Microglia,-0.3498485903566282,0.1677865558720307,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),0.7207786639857866,OPC,0.2847142863113134,0.1902047401909447,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),-0.7465758469097217,Inhibitory,-0.3684735207522579,0.17923555009610523,'de novo' posttranslational protein folding (GO:0051084),None,None
'de novo' posttranslational protein folding (GO:0051084),0.6497507502649286,Endothelial,0.23855613932223885,0.22400063513170457,'de novo' posttranslational protein folding (GO:0051084),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-0.9102683357839972,OPC,-0.45902786102756044,0.12295088643817173,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),-1.5370208943821972,Inhibitory,-0.426919555914939,0.029038829421214052,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),0.08401097027950952,Endothelial,0.03956698341964662,0.8241172975454413,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),None,None
ATF6-mediated unfolded protein response (GO:0036500),-0.6510873305945687,Inhibitory,-0.24982857275261677,0.2233123127601775,ATF6-mediated unfolded protein response (GO:0036500),ATF6-mediated unfolded protein response,no
ATF6-mediated unfolded protein response (GO:0036500),1.8923039111738762,Endothelial,0.6122970101363645,0.01281433545545933,ATF6-mediated unfolded protein response (GO:0036500),ATF6-mediated unfolded protein response,no
ATF6-mediated unfolded protein response (GO:0036500),0.9596202324772729,Excitatory,0.3957844810122859,0.10974374275899614,ATF6-mediated unfolded protein response (GO:0036500),ATF6-mediated unfolded protein response,no
ATF6-mediated unfolded protein response (GO:0036500),-0.05791316624824795,Astrocyte,-0.03698248224191512,0.8751587388136906,ATF6-mediated unfolded protein response (GO:0036500),ATF6-mediated unfolded protein response,no
ATF6-mediated unfolded protein response (GO:0036500),0.17875220180833126,OPC,0.08325522590995216,0.6625944566404347,ATF6-mediated unfolded protein response (GO:0036500),ATF6-mediated unfolded protein response,no
ATF6-mediated unfolded protein response (GO:0036500),-0.5500041986567274,Microglia,-0.3258170830147987,0.28183556839340207,ATF6-mediated unfolded protein response (GO:0036500),ATF6-mediated unfolded protein response,no
ATP biosynthetic process (GO:0006754),-1.5913615326376815,Microglia,-0.55657506517724,0.025623500953362827,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),-0.2795428673792401,OPC,-0.13042788933569485,0.5253601564623025,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),-0.09649404563413111,Astrocyte,-0.06013776631888024,0.8007666072892279,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),0.2318918351107088,Inhibitory,0.12002602135675197,0.5862841655987396,ATP biosynthetic process (GO:0006754),None,None
ATP biosynthetic process (GO:0006754),1.103819710180781,Endothelial,0.36618064595819655,0.07873725859267655,ATP biosynthetic process (GO:0006754),None,None
ATP generation from ADP (GO:0006757),-1.5494430239615227,OPC,-0.5694282150343153,0.028219997831012325,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-0.6686556637438573,Inhibitory,-0.30883403850837776,0.2144590294650729,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-1.0929037311253442,Microglia,-0.5351072764643253,0.0807413987672614,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-2.943588833889291,Oligodendrocyte,-0.8504298278500679,0.0011387048387229294,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-0.9549605819533868,Astrocyte,-0.4302706718851122,0.11092754923158946,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-0.12655367072820883,Excitatory,-0.08504719333783342,0.7472162864364041,ATP generation from ADP (GO:0006757),ATP generation,no
ATP generation from ADP (GO:0006757),-0.4137224439690928,Endothelial,-0.2534239352773479,0.3857247942283999,ATP generation from ADP (GO:0006757),ATP generation,no
ATP metabolic process (GO:0046034),1.4059109061587238,Endothelial,0.4011133034542788,0.03927254932595132,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),0.7606182695082201,Excitatory,0.22673514544516526,0.17353286240983717,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),0.06656995613144145,Oligodendrocyte,0.04404593221313125,0.8578869152148374,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),-0.04453428738686253,Microglia,-0.024975181597738656,0.9025384495851949,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),0.45560591357667657,Astrocyte,0.1999476613466788,0.35026285752241315,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),1.1809134770308443,Inhibitory,0.3643316532037888,0.06593052332342592,ATP metabolic process (GO:0046034),None,None
ATP metabolic process (GO:0046034),2.6221448264909837,OPC,0.652781782141348,0.0023870151395378575,ATP metabolic process (GO:0046034),None,None
ATP synthesis coupled electron transport (GO:0042773),0.5709421856817579,Inhibitory,0.33060394749304745,0.2685701948917275,ATP synthesis coupled electron transport (GO:0042773),None,None
ATP synthesis coupled electron transport (GO:0042773),1.3509575137558083,Excitatory,0.48255109036032395,0.04456998482753889,ATP synthesis coupled electron transport (GO:0042773),None,None
